agencia,ais,area_faccao,arma,bairro,cidade,comment,consolidado,data,database,editar,excluir,hora,id,id_evento,idade,latitude,longitude,name,sexo,tipo,tipo_evento,type,version,dia_semana,eh_feriado,dia_quente_cvp,clima,precipitacao_mm,qtd_mortes,nature
2.0,7.0,,,AEROLANDIA,Fortaleza,,Sim,2026-05-13,,,,18:41:16,78911,4429412.0,,-3.8012553286,-38.4810729232,RUA CRISANTO MOREIRA DA ROCHA,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA
2.0,15.0,,Arma de fogo,,Boa Viagem,,Sim,2026-05-13,,,,18:30:00,78778,4428899.0,45.0,-4.9899859668,-39.6919464154,ESTRADA OLHO D'ÁGUA DOS FACUNDOS,M,cvli,HOMICIDIO DOLOSO,,,Quarta-feira,False,False,,,1.0,HOMICIDIO DOLOSO
2.0,6.0,,,AEROPORTO,Fortaleza,,Sim,2026-05-13,,,,15:40:17,78904,4429411.0,,-3.7685436564,-38.57841902,AVENIDA LINEU MACHADO,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA
2.0,15.0,,,ACARAPE,Acarape,,Sim,2026-05-13,,,,13:45:03,78773,4428156.0,,-4.2214662668,-38.704628062,RUA JULIETA TINÔCO,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA
2.0,15.0,,,ACARAPE,Acarape,,Sim,2026-05-13,,,,13:45:03,78903,4429459.0,,-4.2214662668,-38.704628062,RUA JULIETA TINÔCO,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA
2.0,14.0,,Arma de fogo,TIANGUA,Tianguá,,Sim,2026-05-13,,,,13:30:00,78779,4428932.0,29.0,-3.751931683,-41.0086111037,ESTRADA SEM NOME,M,cvli,HOMICIDIO DOLOSO,,,Quarta-feira,False,False,,,1.0,HOMICIDIO DOLOSO
2.0,3.0,,,ANCURI,Fortaleza,,Sim,2026-05-13,,,,12:47:09,78772,4428132.0,,-3.8302940672,-38.4929267062,RUA CORONEL FRANCISCO PEREIRA,NONE,cvp,ROUBO A ESTABELECIMENTO COMERCIAL,,,Quarta-feira,False,False,,,,ROUBO A ESTABELECIMENTO COMERCIAL
2.0,3.0,,,ANCURI,Fortaleza,,Sim,2026-05-13,,,,12:47:09,78905,4429410.0,,-3.8302940672,-38.4929267062,RUA CORONEL FRANCISCO PEREIRA,NONE,cvp,ROUBO A ESTABELECIMENTO COMERCIAL,,,Quarta-feira,False,False,,,,ROUBO A ESTABELECIMENTO COMERCIAL
2.0,7.0,,,AEROLANDIA,Fortaleza,,Sim,2026-05-13,,,,11:09:29,78768,4428131.0,,-3.7956811581,-38.4909958324,AVENIDA OLIVEIRA PAIVA,NONE,cvp,ROUBO A FARMÁCIA,,,Quarta-feira,False,False,,,,ROUBO A FARMÁCIA
2.0,7.0,,,AEROLANDIA,Fortaleza,,Sim,2026-05-13,,,,11:09:29,78906,4429409.0,,-3.7956811581,-38.4909958324,AVENIDA OLIVEIRA PAIVA,NONE,cvp,ROUBO A FARMÁCIA,,,Quarta-feira,False,False,,,,ROUBO A FARMÁCIA
