micronodo,area_oficial,faction,lat,long
CiIdade de São Gonçalo do Amarante (SGA),SÃO GONÇALO DO AMARANTE,CV,-3.599481,-38.976851
Vila Inês,JARDIM IRACEMA,CV,-3.725909,-38.580679
Comunidade do BC (Padre Andrade),PADRE ANDRADE,CV,-3.729645,-38.579944
Distrito de Sucatinga,BEBERIBE,CV,-4.247944,-38.048569
Cidade de Fortim ,FORTIM,CV,-4.449314,-37.792744
Distrito de Cacimbinha,SOBRAL,CV,-3.803125,-40.205867
Comunidade Sitiozinho - Paupina,SÃO BENTO,CV,-3.850415,-38.487749
BURACÃO,COAÇU,CV,-3.8464,-38.485503
Comunidade Liberdade,PAUPINA,CV,-3.862958,-38.494558
Comunidade da Paz,PAUPINA,CV,-3.870314,-38.492822
Comunidade Cristo Redentor,PAUPINA,CV,-3.87042,-38.494448
Comunidade Coração de Jesus,BARROSO,CV,-3.818349,-38.518707
Conjunto Vitória ,PARQUE SANTA MARIA,CV,-3.857572,-38.502685
Comunidade Caneco Amassado - Santa Maria,ANCURI,CV,-3.859669,-38.501395
Comunidade Espaço Verde- Santa Maria,PARQUE SANTA MARIA,CV,-3.851887,-38.498566
Comunidade do Viaduto- Santa Maria,PARQUE SANTA MARIA,CV,-3.850365,-38.496378
Comunidade da Areninha- Barroso,BARROSO,CV,-3.82266,-38.508737
Conjunto Fernando de Noronha,PAUPINA,CV,-3.853387,-38.492398
Favela do Pacote,ANCURI,CV,-3.862309,-38.510105
João Alfredo- Santana do Acaraú,SANTANA DO ACARAÚ,CV,-3.468106,-40.212332
Cidade de Graça,GRAÇA,CV,-4.032853,-40.751366
PACUJÁ,PACUJÁ,CV,-3.976202,-40.704828
Cidade de Mucambo,MUCAMBO,CV,-3.901375,-40.751456
AP do Parque Albano,PARQUE ALBANO,CV,-3.75378,-38.614071
Comunidade do 5 (Presidente Kennedy),PRESIDENTE KENNEDY,CV,-3.727775,-38.575555
Cidade de Saboeiro,SABOEIRO,CV,-6.543004,-39.90519
Cidade de Frecheirinha,FRECHEIRINHA,CV,-3.754989,-40.813354
Alto do Cruzeiro- Senador Pompeu,SENADOR POMPEU,CV,-5.586101,-39.380436
Pantanal- Senador Pompeu,SENADOR POMPEU,CV,-5.582583,-39.382874
Caracará- Senador Pompeu,SENADOR POMPEU,CV,-5.579912,-39.372292
Alto São José- Senador Pompeu,SENADOR POMPEU,CV,-5.576239,-39.367882
Cidade de Cruz,ACARAÚ,CV,-2.903514,-40.169603
Cidade de Marco,MARCO,CV,-3.123502,-40.162468
Conjunto Alvorada,PARQUE MANIBURA,CV,-3.790526,-38.477811
Favelinha - Barroso,BARROSO,CV,-3.828078,-38.509111
Cidade de Itatira,ITATIRA,CV,-4.52811,-39.628566
Comunidade do Cachorro Morto- Sapiranga,PARQUE MANIBURA,CV,-3.790652,-38.480284
Riacho Doce- Sapiranga,PARQUE MANIBURA,CV,-3.794742,-38.47912
Distrito de Candeia de Baixo,REDENÇÃO,CV,-4.27118,-38.838724
Distrito de Prainha,AQUIRAZ,CV,-3.903677,-38.344998
Alto Alegre- Aquiraz,EUSÉBIO,CV,-3.903333,-38.392062
Vila da Tapa,COUTO FERNANDES,CV,-3.759144,-38.559131
Cajueiros,MARECHAL RONDON,CV,-3.775124,-38.632413
Mercado Velho,FARIAS BRITO,CV,-3.72687,-38.542437
Distrito de Água Verde - Guaiuba,GUAIÚBA,CV,-4.153416,-38.678082
Beco dos pintos,FARIAS BRITO,CV,-3.733763,-38.54001
Ap Jana Barroso,RACHEL DE QUEIROZ,CV,-3.799582,-38.555964
venceslau,CAMBEBA,CV,-3.81118,-38.481779
Comunidade da Mimosa,MARAPONGA,CV,-3.795201,-38.568548
Ap´s Acaracuzinho - ÁGUAS DE JAÇANÃ,ALTO ALEGRE II,CV,-3.843468,-38.622299
Pacoti,PACOTI,CV,-4.221723,-38.91762
Jaçanan,SABIAGUABA,CV,-3.786164,-38.440947
Castanhola,PARQUE DOIS IRMĂOS,CV,-3.813242,-38.555741
Comunidade da maravilha,ALTO DA BALANÇA,CV,-3.759032,-38.521572
Comunidade Santa Rita,BARROSO,CV,-3.82492,-38.521317
Jagatá - Castelão,BOA VISTA/CASTELÃO,CV,-3.796787,-38.527706
Comunidade ABC - Quintino Cunha,QUINTINO CUNHA,CV,-3.730523,-38.603988
Cidrião,DIAS MACÊDO,CV,-3.792832,-38.530241
Aldeia,CURIÓ,CV,-3.826265,-38.47432
Comunidade Língua da Cobra,BARRA DO CEARÁ,CV,-3.696656,-38.578952
Comunidade São Antonio,BARRA DO CEARÁ,CV,-3.695891,-38.583854
Comunidade São Pedro,BARRA DO CEARÁ,CV,-3.695259,-38.583762
Cajazeiras,CAJAZEIRAS,CV,-3.799833,-38.511868
Comunidade do Gueto,BARRA DO CEARÁ,CV,-3.706953,-38.58281
Beco da 20 ,BARRA DO CEARÁ,CV,-3.705064,-38.582634
Comunidade do Posto,BARROSO,CV,-3.828239,-38.526205
Beco da Praça,FÁTIMA,CV,-3.746614,-38.526666
Cidade Jardim II,PREFEITO JOSÉ WALTER,CV,-3.83934,-38.554417
Piçarra,JARDIM IRACEMA,CV,-3.713782,-38.581322
Conjunto Comando Vermelho,ÁLVARO WEYNE,CV,-3.711789,-38.574399
Guanaces,PINDORETAMA,CV,-4.141013,-38.329553
Comunidade do Presídio,PARQUE DOIS IRMĂOS,CV,-3.808096,-38.556093
Beco da disbece,VILA PERI,CV,-3.781782,-38.576069
Distrito de Paripueira,FORTIM,CV,-4.374312,-37.926538
Comunidade do Paredão,GRANJA PORTUGAL,CV,-3.783088,-38.606826
Praia da Redonda - Icapuí,ICAPUÍ,CV,-4.652564,-37.46404
Vila Rola ,FLORESTA,CV,-3.712208,-38.575809
Coqueiral,JOSÉ DE ALENCAR,CV,-3.815896,-38.472577
Planalto,PENTECOSTE,CV,-3.792816,-39.276326
Favela do Capinzal,OLAVO OLIVEIRA,CV,-3.729665,-38.591843
Campo do Guanabara,JARDIM GUANABARA,CV,-3.724648,-38.59096
Buraco do Céu ,CRISTO REDENTOR,CV,-3.706204,-38.565224
Cidade de Ipueiras ,IPU,CV,-4.53273,-40.708257
Jenipapeiro - Aquiraz,AQUIRAZ,CV,-3.968868,-38.399892
Comunidade do gato morto - Sobral,MERUOCA,CV,-3.673829,-40.375946
Cidade de Tururu,TURURU,CV,-3.605841,-39.429305
Praia de Uruaú,BEBERIBE,CV,-4.22588,-38.044194
Beco da Sodine,PARREÃO,CV,-3.759227,-38.531052
Bairro Alto do Bode - Itaitinga,PEDRAS,CV,-3.922841,-38.544289
Carapió - Itaitinga,ITAITINGA,CV,-3.959546,-38.551377
Distrito de Juriatinha,ACARAÚ,CV,-2.895804,-40.002337
Bairro Pedragal - Santana do Acaraú,SANTANA DO ACARAÚ,CV,-3.459936,-40.197721
Cidade de Cariús,CARIÚS,CV,-6.52844,-39.492059
Morrinhos - Aracati,ARACATI,CV,-4.63403,-37.745486
Distrito de Logradouro - Itaiçaba,ITAIÇABA,CV,-4.722012,-37.776739
Tabapuá,TABAPUÁ,CV,-3.737903,-38.614585
Aldeia,SAPIRANGA / COITÉ,CV,-3.804034,-38.455128
Beco do 12,PRECABURA,CV,-3.808656,-38.448989
Comunidade das Quadras,PRECABURA,CV,-3.817771,-38.437653
Papoco - Mucunã,MARACANAÚ,CV,-3.853449,-38.653612
Taquara - Caucaia,URUCUTUBA,CV,-3.828733,-38.666065
Comunidade da Central  - Jaçanaú,ALTO ALEGRE II,CV,-3.839344,-38.640258
Baixa Da Jumenta - Maraponga,PARANGABA,CV,-3.783296,-38.571315
Beco do Canal - Maraponga,JARDIM CEARENSE,CV,-3.799346,-38.561942
Alto da alvorada - Mucunã ,MARACANAÚ,CV,-3.844919,-38.663212
Beco Do Cu,SAPIRANGA / COITÉ,CV,-3.794847,-38.46891
Tamboril,TAMBORIL,CV,-4.825874,-40.320352
Granja Portugal,GRANJA PORTUGAL,CV,-3.775235,-38.605986
Comunidade dos Indios - Passaré,SERRINHA,CV,-3.79112,-38.540996
Comunidade do Come Queto,ITAPERI,CV,-3.789064,-38.547708
Abreulandia,CARARU,CV,-3.810949,-38.409744
Comunidade Isabelzinha,LAGOA REDONDA,CV,-3.821189,-38.456927
10,CURIÓ,CV,-3.824489,-38.472105
Alto do Bode - Redenção,REDENÇÃO,CV,-4.230176,-38.726374
Boa Fé - Redenção,REDENÇÃO,CV,-4.242574,-38.72404
Comunidade dos Cariocas - Caucaia,MARECHAL RONDON,CV,-3.780241,-38.631165
Multirão - itaitinga,ITAITINGA,CV,-4.003593,-38.517157
laje dos gatos - itaitinga,ITAITINGA,CV,-3.997161,-38.516432
Canal,SIQUEIRA,CV,-3.798248,-38.612168
Apuiarés,APUIARÉS,CV,-3.940936,-39.423486
Estádio ,CRATEÚS,CV,-5.167534,-40.661103
Comunidade da Ilha,CRATEÚS,CV,-5.167305,-40.667224
Lages,JAGUARIBARA,CV,-5.463834,-38.474128
Vila Marizera,JAGUARIBARA,CV,-5.464569,-38.456603
Gruta - Colônia ,MARACANAÚ,CV,-3.88734,-38.641201
Pires Ferreira,PIRES FERREIRA,CV,-4.25116,-40.649248
Campos Belos,CARIDADE,CV,-4.088926,-39.060323
Buriti,JOSÉ DE ALENCAR,CV,-3.808047,-38.465702
Estação Rachel de Queiroz,ALTO ALEGRE II,CV,-3.850478,-38.610387
Beco da Bomba - Sabiaguaba,SABIAGUABA,CV,-3.809094,-38.430051
Invasão - Sabiaguaba,SABIAGUABA,CV,-3.809091,-38.430185
Via Urbana,JOSÉ DE ALENCAR,CV,-3.805231,-38.467263
Veneza,SANTANA DO ACARAÚ,CV,-3.451988,-40.202861
Bairro da Baixa,SANTANA DO ACARAÚ,CV,-3.462261,-40.209608
Rua da Bosta - Alto da Liberdade ,SANTANA DO ACARAÚ,CV,-3.455004,-40.208098
Croatá,CROATÁ,CV,-4.414554,-40.910828
Altamira,CRATEÚS,CV,-5.172098,-40.673616
Munduca,SANTA QUITÉRIA,CV,-4.303123,-40.151984
Antonina do Norte,ANTONINA DO NORTE,CV,-6.774086,-39.99239
Recanto,MERUOCA,CV,-3.667316,-40.339948
Viçosa do Ceará ,VICOSA DO CEARA,CV,-3.559312,-41.088624
Mutirão ,CRATO,CV,-7.243597,-39.414538
Vila Machado,PEDRAS,CV,-3.889259,-38.517675
Barrocao,PEDRAS,CV,-3.914826,-38.505734
COMUNIDADE DO ÓLEO - CAMPO DO ESTRELA,BARROSO,CV,-3.828479,-38.518659
Comunidade do Torino,BARROSO,CV,-3.830005,-38.51569
Comunidade do Alto - Santa fé,ANCURI,CV,-3.858335,-38.506158
Comunidade das cobras,PARQUE SANTA MARIA,CV,-3.847423,-38.499148
Mutirão ,PARQUE DOIS IRMĂOS,CV,-3.809408,-38.555873
Tarrafas,TARRAFAS,CV,-6.681923,-39.76135
Camará,EUSÉBIO,CV,-3.956062,-38.47606
Nova Belém - Icapui,ICAPUÍ,CV,-4.710105,-37.495611
P.F,EUSÉBIO,CV,-3.862282,-38.447553
Ouro Verde,EUSÉBIO,CV,-3.856678,-38.446122
Quadras,EUSÉBIO,CV,-3.861368,-38.459212
Final da Linha,FLORESTA,CV,-3.716266,-38.578589
Comunidade do Jacaré,COAÇU,CV,-3.847899,-38.480443
Vila do Felix - Beberibe,BEBERIBE,CV,-4.51044,-38.178784
Mangue Seco,JIJOCA DE JERICOACOARA,CV,-2.842481,-40.55882
Curva da Viúva ,PLANALTO AYRTON SENNA,CV,-3.839736,-38.564051
Anario Braga ,ANTÔNIO BEZERRA,CV,-3.736325,-38.594919
Barreiros,GUADALAJARA,CV,-3.750118,-38.630998
Pau da Veia,AUTRAN NUNES,CV,-3.748903,-38.592694
Vacaria do Dom Lustosa,DOM LUSTOSA,CV,-3.748914,-38.58861
Campo Grande,URUCUTUBA,CV,-3.768417,-38.681228
Beco do Suvaco,DOM LUSTOSA,CV,-3.753294,-38.584158
Comunidade das Casinhas - Paupina,PARQUE SANTA MARIA,CV,-3.849505,-38.491811
Bairro Ellery,ELLERY,CV,-3.720702,-38.56583
Papoco- Montese,ITAOCA,CV,-3.769887,-38.559087
Comunidade da Tubiacanga,PASSARÉ,CV,-3.815953,-38.538346
Marrocos,PARQUE DOIS IRMĂOS,CV,-3.815678,-38.544156
Caixa D´agua - Varjota,PIRES FERREIRA,CV,-4.195009,-40.475977
Ararinha - Varjota,PIRES FERREIRA,CV,-4.199037,-40.476498
Arianópolis - Caucaia,MARECHAL RONDON,CV,-3.75842,-38.646695
Praia do Japão - Aquiraz,AQUIRAZ,CV,-3.893434,-38.356579
Caixa d' Água,SERRINHA,CV,-3.782,-38.544047
Condomínios,MARECHAL RONDON,CV,-3.776815,-38.63324
Tucunduba,CAUCAIA,CV,-3.869455,-38.75655
Complexo da Areninha,AUTRAN NUNES,CV,-3.750377,-38.599842
Comunidade da Fumaça ,SÃO MIGUEL,CV,-3.743884,-38.599428
Pracinha,MARECHAL RONDON,CV,-3.77692,-38.619514
Samassa,RODOLFO TEÓFILO,CV,-3.744526,-38.552296
Comunidade do Riacinho,DEMÓCRITO ROCHA,CV,-3.761566,-38.564636
Beco da Betânia ,PARANGABA,CV,-3.784071,-38.562964
VP,ITAPERI,CV,-3.791151,-38.550874
Sem Terra,JARDIM IRACEMA,CV,-3.715716,-38.5839
Travessa do Mal,PANAMERICANO,CV,-3.756514,-38.567014
Venâncio ,CRATEÚS,CV,-5.184328,-40.657741
Parque Araxá,PARQUE ARAXÁ,CV,-3.737348,-38.543968
Comunidade do Serrote - Messejana,PARQUE SANTA MARIA,CV,-3.842321,-38.493274
Sol Nascente - Aquiraz,AQUIRAZ,CV,-3.911545,-38.383815
Mirante da Serra - Cascavel,CASCAVEL,CV,-4.1458,-38.253267
Bairro do Ginasio,TIANGUA,CV,-3.722647,-40.988004
Alto da Coruja,ITAPERI,CV,-3.786452,-38.550206
Jacarecoara,PINDORETAMA,CV,-4.113752,-38.169278
Violete ,SÃO GONÇALO DO AMARANTE,CV,-3.67437,-39.086435
Residencial Anacetaba,SÃO GONÇALO DO AMARANTE,CV,-3.593107,-38.962127
Rua da Paz,TIANGUA,CV,-3.710225,-40.978776
Campo do Laurao ,TIANGUA,CV,-3.725315,-40.987607
Jabuti - Eusébio ,PEDRAS,CV,-3.931027,-38.50094
São Vicente,TIANGUA,CV,-3.709762,-40.989038
Quatigaba,TIANGUA,CV,-3.67298,-41.064859
Ararendá,ARARENDÁ,CV,-4.74565,-40.834565
Carandiru,VILA UNIĂO,CV,-3.761985,-38.529124
Vacaria do Dom Lustosa,DOM LUSTOSA,CV,-3.747272,-38.58679
Lagoa Do Urubu - Álvaro Weyne,FLORESTA,CV,-3.72043,-38.573872
Comunidade São Francisco - Itapajé,ITAPAJÉ,CV,-3.68353,-39.592688
Aps do Inferninho - Vila Velha,VILA VELHA,CV,-3.718282,-38.604883
Vila Peri,VILA PERI,CV,-3.783559,-38.578855
Comunidade 1 de Abril,BOA VISTA/CASTELÃO,CV,-3.804095,-38.522458
Sem terra ,BOA VISTA/CASTELÃO,CV,-3.800344,-38.527786
Conjunto Rosa Luxemburgo,SÃO BENTO,CV,-3.85687,-38.48433
Rua da Torre,FORTIM,CV,-4.553625,-37.762156
Ipu,IPU,CV,-4.328562,-40.703834
Flecheiras ,TRAIRI,CV,-3.220962,-39.262354
Lagoa Do Mato - Itatira,ITATIRA,CV,-4.644208,-39.677734
Turiaçu,PARANGABA,CV,-3.780053,-38.559904
Barra - Fortim,FORTIM,CV,-4.428819,-37.777045
Maceió - Fortim,FORTIM,CV,-4.405881,-37.781349
Olho D'água - Aracati,ARACATI,CV,-4.642309,-37.591884
Cacimba Funda - Aracati,ICAPUÍ,CV,-4.856706,-37.46146
Morro do Urubu,CRATEÚS,CV,-5.16909,-40.670434
Cohab - Crateús ,CRATEÚS,CV,-5.153164,-40.658531
Guriú - Camocim,JIJOCA DE JERICOACOARA,CV,-2.84881,-40.586412
Comunidade Riacho Doce - Bonsucesso,BONSUCESSO,CV,-3.775915,-38.59005
Viçosa - Fortim,FORTIM,CV,-4.465598,-37.795718
Severino - Uruburetama ,URUBURETAMA,CV,-3.569138,-39.506364
Ceará Brasil,PARQUE SANTA MARIA,CV,-3.838351,-38.500973
Trizidela - Monsenhor Tabosa ,MONSENHOR TABOSA,CV,-4.786555,-40.054033
Prado - Monsenhor Tabosa ,MONSENHOR TABOSA,CV,-4.795894,-40.060218
Alto Da Boa Vista,MONSENHOR TABOSA,CV,-4.792423,-40.060237
Jucás - Monsenhor Tabosa ,MONSENHOR TABOSA,CV,-4.796758,-40.063993
Carrapicho - Monsenhor Tabosa ,MONSENHOR TABOSA,CV,-4.787826,-40.066624
Quadra - Monsenhor Tabosa ,MONSENHOR TABOSA,CV,-4.791702,-40.059946
Centro De Monsenhor Tabosa ,MONSENHOR TABOSA,CV,-4.788493,-40.063192
Caixa D'água ,MONSENHOR TABOSA,CV,-4.803462,-40.063889
Quadras,MONSENHOR TABOSA,CV,-4.792728,-40.054027
Caruaru,PRECABURA,CV,-3.814332,-38.432735
Mirador - Jurema,MARECHAL RONDON,CV,-3.776987,-38.621456
Jurema,MARECHAL RONDON,CV,-3.770549,-38.620085
Comunidade da Feira - Jurema,MARECHAL RONDON,CV,-3.771044,-38.618405
Beco do Tatu,JANGURUSSU,CV,-3.83608,-38.514333
Comunidade 4 Quadras,FLORESTA,CV,-3.717581,-38.5768
Comunidade Rua 1,FLORESTA,CV,-3.718437,-38.578454
Bulandeira ,BATURITÉ,CV,-4.37743,-38.815443
Lama Seca,BARRA DO CEARÁ,CV,-3.705944,-38.584692
Conj. Palmares,MARECHAL RONDON,CV,-3.779911,-38.626707
Linha Do Meio ,SAPIRANGA / COITÉ,CV,-3.800186,-38.461292
São Francisco - Trairí ,TRAIRI,CV,-3.287676,-39.264852
Vila Nova - Trairí ,TRAIRI,CV,-3.268818,-39.272004
CDD - Trairí ,TRAIRI,CV,-3.30223,-39.265547
Gualdrapras - Trairí ,TRAIRI,CV,-3.401792,-39.294734
Guajiru - Trairí ,TRAIRI,CV,-3.237809,-39.234544
Crianco - Trairí ,TRAIRI,CV,-3.268445,-39.254725
Cotesa - Trairí ,TRAIRI,CV,-3.26771,-39.262348
Comunidade De Itaperaoba,ITAPERI,CV,-3.783258,-38.549854
Itacima,PALMÁCIA,CV,-4.137667,-38.752858
Comunidade Do TA,GRANJA PORTUGAL,CV,-3.774712,-38.596273
Parque Guadalajara ,GUADALAJARA,CV,-3.755954,-38.619442
Primeiro de Abril ,BONSUCESSO,CV,-3.781389,-38.58888
Comunidade do Aterro/Ocupação,SÃO MIGUEL,CV,-3.746044,-38.597477
Genibaú 1 ,SÃO MIGUEL,CV,-3.74985,-38.601544
Fazendinha - Santa Maria ,PARQUE SANTA MARIA,CV,-3.851536,-38.504909
Rua Do Moreira - Santa Maria ,PARQUE SANTA MARIA,CV,-3.850247,-38.501406
THS - Santa Maria ,PARQUE SANTA MARIA,CV,-3.853752,-38.497469
Pracinha - Santa Maria ,PARQUE SANTA MARIA,CV,-3.852314,-38.5003
Comunidade Do HK - Santa Maria ,PARQUE SANTA MARIA,CV,-3.854619,-38.503686
Comunidade Do Santa Maria ,PARQUE SANTA MARIA,CV,-3.856962,-38.498013
Favelinha,QUINTINO CUNHA,CV,-3.727265,-38.598366
Beco do Rato,JOSÉ BONIFÁCIO,CV,-3.737897,-38.5273
Salgadeira - Jardim América,JARDIM AMÉRICA,CV,-3.753461,-38.537808
PBT - Jardim América,JARDIM AMÉRICA,CV,-3.750122,-38.538845
Brasília - Jardim América ,JARDIM AMÉRICA,CV,-3.750721,-38.53694
Favela Do NB ,PRAIA DO FUTURO I,CV,-3.73235,-38.459994
Canal da Mancha,JARDIM AMÉRICA,CV,-3.747169,-38.543202
Fornalhão ,FRECHEIRINHA,CV,-3.79801,-40.858184
Araticum,FRECHEIRINHA,CV,-3.811173,-40.877244
Varzante,FRECHEIRINHA,CV,-3.764867,-40.806931
Velame - Aracati,FORTIM,CV,-4.568814,-37.77791
Setor C1 - Paraipaba,PARAIPABA,CV,-3.450368,-39.169762
Setor B ,PARAIPABA,CV,-3.433312,-39.161991
Setor C2 - Paraipaba ,PARAIPABA,CV,-3.456293,-39.155333
Baixada - Complexo Da Rosalina,PARQUE DOIS IRMĂOS,CV,-3.813043,-38.542935
Alto Alegre ,PAUPINA,CV,-3.856174,-38.491991
Sorriso - São Cristóvão ,CONJUNTO PALMEIRAS,CV,-3.833362,-38.52746
Lago Azul - Barroso I,BARROSO,CV,-3.820033,-38.508342
Comunidade Do Real - São Cristóvão ,BARROSO,CV,-3.829434,-38.525282
Comunidade Do Canal - São Cristóvão ,BARROSO,CV,-3.829222,-38.523586
Conj. Dom Pedro II,PEDRAS,CV,-3.901467,-38.51318
Vila Da Prata - Aquiraz,AQUIRAZ,CV,-3.902831,-38.376159
Sem Terra - Aquiraz ,AQUIRAZ,CV,-3.902956,-38.375709
Boa Vista - Maranguape ,MARANGUAPE,CV,-4.045843,-38.7355
Rodoviária - Maranguape ,MARACANAÚ,CV,-3.895551,-38.680074
Padre Ibiapina ,MERUOCA,CV,-3.685962,-40.365047
Junco,MERUOCA,CV,-3.675768,-40.367105
Mossoró,PIRAMBU,CV,-3.71322,-38.550645
Alto do Bode,TIANGUA,CV,-3.730794,-40.987443
Tabajara,TIANGUA,CV,-3.72981,-40.985159
Praça,TIANGUA,CV,-3.728934,-40.98987
Parque Da Paz,PASSARÉ,CV,-3.816004,-38.539605
Jardim União - Complexo Da Rosalina ,PASSARÉ,CV,-3.815009,-38.535227
Campo Do Bangu - Complexo Da Rosalina ,PASSARÉ,CV,-3.812433,-38.539873
Jardim União 2 - Complexo Da Rosalina ,PARQUE DOIS IRMĂOS,CV,-3.810435,-38.547027
Santa Terezinha,GRANJA,CV,-3.341611,-40.995757
Alto da Brasília ,MERUOCA,CV,-3.671558,-40.34148
Betânia ,MERUOCA,CV,-3.674029,-40.340461
Paraiso,MERUOCA,CV,-3.672524,-40.338026
Cidade de Aiuabá ,AIUABA,CV,-6.557763,-40.121125
Parazinho,MARTINÓPOLE,CV,-3.042538,-40.686398
Viena,ANTÔNIO BEZERRA,CV,-3.74734,-38.590498
Comunidade Do Rodão ,DIAS MACÊDO,CV,-3.782574,-38.516568
Conj. Jaciara ,BARRA DO CEARÁ,CV,-3.712721,-38.579391
Carnaúba - Itapajé ,ITAPAJÉ,CV,-3.682554,-39.584783
Parque Roberto Feitosa,PACAJUS,CV,-4.179691,-38.43865
José Othon ,PACAJUS,CV,-4.180588,-38.441438
Buriti ,PACAJUS,CV,-4.176101,-38.474824
CNE,GUAJERU,CV,-3.830543,-38.480474
Canindezinho,CANINDEZINHO,CV,-4.348208,-39.328486
Bairro do Can,CANINDÉ,CV,-4.353757,-39.324922
José Cordeiro,CANINDÉ,CV,-4.356319,-39.32545
Lago Verde,JAGUARIBE,CV,-5.907541,-38.62903
João Paulo ll,JAGUARIBE,CV,-5.904734,-38.635386
Ibicuitinga ,IBICUITINGA,CV,-4.960262,-38.63935
Favelinha,CURIÓ,CV,-3.82608,-38.476174
CG,GUAJERU,CV,-3.83157,-38.475706
RDP,GUAJERU,CV,-3.827559,-38.480849
TDG,GUAJERU,CV,-3.828769,-38.47484
Cohab,SOBRAL,CV,-3.800254,-40.263193
Aldeia Dos Índios ,PACAJUS,CV,-4.175906,-38.44841
Lagamar,JAGUARIBARA,CV,-5.675034,-38.669975
Portelinha ,ALTO ALEGRE II,CV,-3.848442,-38.618806
Morro São Sebastião ,UBAJARA,CV,-3.86578,-40.917514
Cajueirinho,BELA CRUZ,CV,-3.073135,-40.466107
Jericó,PORANGA,CV,-4.753974,-40.936833
Betânia ,PORANGA,CV,-4.750378,-40.92351
Favela Da Linha,ITAPERI,CV,-3.78424,-38.558873
Bica - Cascavel ,PINDORETAMA,CV,-4.126541,-38.22242
Vilinha,CASCAVEL,CV,-4.168604,-38.124974
Estadio,CASCAVEL,CV,-4.185823,-38.124567
Buenos Aires,AMONTADA,CV,-3.36963,-39.825189
Bairro Pedrinhas,MERUOCA,CV,-3.685438,-40.342948
Parronca,GUAIÚBA,CV,-4.110613,-38.650493
Coaçu,COAÇU,CV,-3.853774,-38.462374
Morro Do TN,MERUOCA,CV,-3.670363,-40.37552
Fronteira ,SAPIRANGA / COITÉ,CV,-3.789862,-38.471086
S2,ANCURI,CV,-3.872245,-38.496916
Campo do Cruzeiro ,BARRA DO CEARÁ,CV,-3.703042,-38.584107
Beco Da Zeza,BARRA DO CEARÁ,CV,-3.704217,-38.580001
Aeroporto ,AEROPORTO,CV,-4.737989,-40.92758
Gato Morto,OLAVO OLIVEIRA,CV,-3.730556,-38.593751
Favela da Macaca,OLAVO OLIVEIRA,CV,-3.728881,-38.593826
Serpa,ITAITINGA,CV,-4.038124,-38.493149
Dendê ,RACHEL DE QUEIROZ,CV,-3.80016,-38.553326
São Miguel,SÃO MIGUEL,CV,-3.822959,-38.47273
Triângulo ,JUCÁS,CV,-6.520034,-39.522368
Vila Nova,JUCÁS,CV,-6.52499,-39.543913
Lagoa do Barro,IPARANA,CV,-3.630417,-38.74048
Acaracuzinho,ALTO ALEGRE II,CV,-3.844186,-38.618458
Boqueirão De Cesário - Russas ,BEBERIBE,CV,-4.588216,-38.209291
Beco do Siri,PIRAMBU,CV,-3.711649,-38.557608
Carlito Pamplona,CARLITO PAMPLONA,CV,-3.713854,-38.559679
Ponte Preta,CRATEÚS,CV,-5.167732,-40.677071
Patriarcas,CRATEÚS,CV,-5.16328,-40.668672
Cidade 2000,CIDADE 2000,CV,-5.15736,-40.66561
Jose Rosa,CRATEÚS,CV,-5.177716,-40.650922
Barreiros,PENTECOSTE,CV,-3.79063,-39.265367
Papoco,PICI,CV,-3.75049,-38.569105
Mutirão,PANAMERICANO,CV,-3.756104,-38.572456
Riacho Doce,PICI,CV,-3.749734,-38.574702
Invasão ,PICI,CV,-3.746989,-38.569294
Canal da Bela Vista,PICI,CV,-3.74918,-38.568253
Comunidade Do Sem Terra - Barroso l,BARROSO,CV,-3.824414,-38.509547
Telha,AQUIRAZ,CV,-3.960652,-38.474174
Guajiru,FORTIM,CV,-4.411504,-37.846402
Sítio Guarda,AQUIRAZ,CV,-4.031834,-38.424129
Barroso,BARROSO,CV,-3.820807,-38.509611
Opaia,VILA UNIĂO,CV,-3.770805,-38.534456
Paraguaçu ,SERRINHA,CV,-3.787281,-38.539758
Favela do Trilho,GUADALAJARA,CV,-3.76694,-38.625438
Nossa Sra. Dos Navegantes ,BARROQUINHA,CV,-3.019751,-41.135645
Poço Imperial,BARROQUINHA,CV,-3.01371,-41.133545
Caucaia,CAUCAIA,CV,-3.01174,-41.13183
Barroquinha dos fiéis ,BARROQUINHA,CV,-2.976164,-41.135608
Ilha Do xavier,BARROQUINHA,CV,-2.966686,-41.095787
Araras,BARROQUINHA,CV,-2.937272,-41.153857
Centro,CENTRO,CV,-3.016816,-41.137245
Campo Quebra Pé,BARROQUINHA,CV,-3.017681,-41.129039
Beco Da Raposa,BOM JARDIM,CV,-3.791652,-38.602894
Travessa ,BOM JARDIM,CV,-3.788956,-38.608907
Vila Buriti,ALTO ALEGRE II,CV,-3.839495,-38.613401
Vila Vintem,ALTO ALEGRE II,CV,-3.847425,-38.620922
Conj. Tia Joana ,BOM JARDIM,CV,-3.799899,-38.606269
Beco Dos Potiguaras,PRAIA DE IRACEMA,CV,-3.719995,-38.517315
Vila Dos Almirantes,PRAIA DE IRACEMA,CV,-3.719571,-38.519436
Lagoinha,HORIZONTE,CV,-4.092258,-38.503974
Comunidade Itu,BOM JARDIM,CV,-3.794177,-38.602059
Bom Jardim ,BOM JARDIM,CV,-3.793013,-38.605404
