micronodo,area_oficial,faction,lat,long
Área Seca,MARACANAÚ,CV,-3.872074,-38.66698
Distrito de Croatá,SÃO GONÇALO DO AMARANTE,CV,-3.67211,-39.119596
Pantanal,JOSÉ DE ALENCAR,CV,-3.808251,-38.47715
Cicol,SÃO GERARDO,CV,-3.729908,-38.555461
Taquari de Bonsucesso ,GRANJA PORTUGAL,CV,-3.776033,-38.594466
Campo do Dragao,ITAPERI,CV,-3.796026,-38.547792
Favela do CK,BARROSO,CV,-3.818745,-38.512479
Precabura,PRECABURA,CV,-3.824224,-38.451866
Vila Neuma,IGUATU,CV,-6.369859,-39.292104
Vila Moura,IGUATU,CV,-6.367991,-39.28951
Central Picuí,PARQUE SOLEDADE,CV,-3.754225,-38.657575
Ponte ,URUCUTUBA,CV,-3.762843,-38.660042
Babilônia do Picuí,URUCUTUBA,CV,-3.756798,-38.654128
Cidade de Barreira,BARREIRA,CV,-4.28694,-38.655175
Horto- Juazeiro do Norte,JUAZEIRO DO NORTE,CV,-7.19225,-39.325185
Cidade de Coreaú,MORAÚJO,CV,-3.547663,-40.658116
Cidade de Meruoca,MERUOCA,CV,-3.533901,-40.461349
Cidade de Icó,ICÓ,CV,-6.389242,-38.854312
Cidade de Alcântaras,ALCÂNTARAS,CV,-3.581793,-40.541846
Cidade de Senador Sá,SENADOR SÁ,CV,-3.345824,-40.464468
Urucara,MARACANAÚ,CV,-3.923749,-38.6934
Tabatinga ,MARACANAÚ,CV,-3.945813,-38.698546
Gereraú,MARACANAÚ,CV,-3.945387,-38.695007
Ladeira Grande ,MARANGUAPE,CV,-3.97195,-38.710023
Vila Nova de Maranguape,MARANGUAPE,CV,-3.987849,-38.719364
Penedo de Maranguape,MARANGUAPE,CV,-3.999228,-38.817904
Umarizeiras,MARANGUAPE,CV,-4.002117,-38.72683
Boa Vista dos Vieiras,MARANGUAPE,CV,-4.020872,-38.720484
Jubaia de Maranguape,GUAIÚBA,CV,-4.049724,-38.718593
Cachoeira- Maranguape,MARANGUAPE,CV,-4.06687,-38.758806
Ocupação,ITAITINGA,CV,-3.960174,-38.525176
Jibóia,ITAITINGA,CV,-3.954698,-38.530583
Angorá de Itaitinga,ITAITINGA,CV,-3.973104,-38.514744
Riachão de Itaitinga,ITAITINGA,CV,-3.975395,-38.531524
Parque Genezare,ITAITINGA,CV,-3.974667,-38.541824
Pedras- Itaitinga,ITAITINGA,CV,-3.971413,-38.54251
Gereraú,ITAITINGA,CV,-3.976889,-38.543185
Parque Havaí,EUSÉBIO,CV,-3.900436,-38.453498
Guaribas,EUSÉBIO,CV,-3.873832,-38.461725
Olho D'Água,EUSÉBIO,CV,-3.872286,-38.431429
Timbu,EUSÉBIO,CV,-3.857782,-38.44557
Piçarra,ITAPAJÉ,CV,-3.68793,-39.590565
Conjunto Nova Assunção,BARROSO,CV,-3.814947,-38.516558
Conjunto Habitacional 1° de Março ou Blocos,BARROSO,CV,-3.81662,-38.51873
Sítio Estrela,BARROSO,CV,-3.825145,-38.512098
Tabajara,FORTIM,CV,-4.55424,-37.76752
Duque de Caxias,FORTIM,CV,-4.553169,-37.764015
Bairro da Baixada,ARACATI,CV,-4.560878,-37.766138
Vila São Rafael,ARACATI,CV,-4.56114,-37.763483
Sinal,ARACATI,CV,-4.560878,-37.766138
Campo Verde,ARACATI,CV,-4.565701,-37.768565
Bairro do Aterro,ARACATI,CV,-4.567701,-37.769027
José de Alencar,JOSÉ DE ALENCAR,CV,-4.572753,-37.770451
Gruta,ARACATI,CV,-4.573004,-37.769824
Castelo,ARACATI,CV,-4.570746,-37.773661
Beco do Siri,ARACATI,CV,-4.574246,-37.774884
Comunidade da Prescilha,ARACATI,CV,-4.574631,-37.764432
Comunidade do Velame,FORTIM,CV,-4.564084,-37.775227
Vila São Cristóvão ,ARACATI,CV,-4.573076,-37.777596
Vila São José,ARACATI,CV,-4.580152,-37.77476
Cajueiro,ARACATI,CV,-4.588517,-37.742375
Córrego Rodrigues,ARACATI,CV,-4.553892,-37.724999
Periferia de Canoa Quebrada,ARACATI,CV,-4.525916,-37.705596
Majorlândia,ARACATI,CV,-4.550246,-37.676366
Quixabá,ARACATI,CV,-4.568723,-37.664104
Alto do Bernardo,ITAPAJÉ,CV,-3.679044,-39.592406
Bela Vista- Itapajé,ITAPAJÉ,CV,-3.682554,-39.584783
Bairro Rodoviária,TIANGUA,CV,-3.714328,-40.987403
