RESUMO DO DATASET - FORTALEZA (MAPEAMENTO POR PASTAS KML)
Total de Dias Únicos,1516

Bairro,Facção Predominante,Total Geral CVLI,Dias com Ocorrência,% do Período Total,Periodicidade (1 a cada X dias),Total 2022,Total 2023,Total 2024,Total 2025,Total 2026,Projeção 2026
AEROLÂNDIA,CV,26,25,1.65%,58.3 dias,10,10,5,1,0,0.0
PEDRAS,CV,25,25,1.65%,60.6 dias,6,8,8,3,0,0.0
OLAVO OLIVEIRA,N/D,24,23,1.52%,63.2 dias,5,7,7,5,0,0.0
ARACAPÉ,CV,24,23,1.52%,63.2 dias,5,6,7,6,0,0.0
JARDIM IRACEMA,CV,24,21,1.39%,63.2 dias,9,9,5,1,0,0.0
CONJUNTO ESPERANÇA,CV,24,22,1.45%,63.2 dias,5,7,5,7,0,0.0
COAÇU,CV,24,21,1.39%,63.2 dias,8,3,5,5,3,19.9
PRAIA DE IRACEMA,CV,23,22,1.45%,65.9 dias,11,5,3,4,0,0.0
PADRE ANDRADE,CV,23,22,1.45%,65.9 dias,6,3,12,2,0,0.0
ÁLVARO WEYNE,CV,23,20,1.32%,65.9 dias,4,10,6,3,0,0.0
PRAIA DO FUTURO I,N/D,22,19,1.25%,68.9 dias,7,5,6,3,1,6.6
JARDIM GUANABARA,CV,21,19,1.25%,72.2 dias,5,1,7,8,0,0.0
JOSÉ DE ALENCAR,CV,21,20,1.32%,72.2 dias,11,6,0,4,0,0.0
PRESIDENTE KENNEDY,CV,20,20,1.32%,75.8 dias,4,4,7,5,0,0.0
JOSÉ BONIFÁCIO,CV,20,18,1.19%,75.8 dias,5,2,4,9,0,0.0
ITAPERI,CV,19,18,1.19%,79.8 dias,11,3,3,2,0,0.0
DIAS MACÊDO,CV,19,17,1.12%,79.8 dias,5,4,8,2,0,0.0
CAIS DO PORTO,N/D,18,17,1.12%,84.2 dias,6,6,1,5,0,0.0
SÃO BENTO,CV,18,17,1.12%,84.2 dias,7,4,2,5,0,0.0
FARIAS BRITO,CV,18,18,1.19%,84.2 dias,5,8,4,1,0,0.0
SÃO MIGUEL,CV,18,18,1.19%,84.2 dias,6,3,4,5,0,0.0
PAUPINA,CV,18,17,1.12%,84.2 dias,3,6,5,4,0,0.0
VARJOTA,TCP/GDE,18,17,1.12%,84.2 dias,2,2,6,8,0,0.0
MARAPONGA,CV,17,16,1.06%,89.2 dias,7,3,5,2,0,0.0
SERRINHA,N/D,16,16,1.06%,94.8 dias,7,3,3,3,0,0.0
MANOEL SÁTIRO,N/D,16,15,0.99%,94.8 dias,2,2,2,10,0,0.0
HENRIQUE JORGE,N/D,16,16,1.06%,94.8 dias,3,3,6,4,0,0.0
CONJUNTO CEARÁ II,CV,15,15,0.99%,101.1 dias,3,5,4,3,0,0.0
JOÃO XXIII,CV,15,14,0.92%,101.1 dias,5,2,3,5,0,0.0
CIDADE NOVA,CV,15,13,0.86%,101.1 dias,6,1,2,6,0,0.0
ITAOCA,CV,15,14,0.92%,101.1 dias,5,4,3,3,0,0.0
SABIAGUABA,N/D,15,14,0.92%,101.1 dias,5,5,2,3,0,0.0
CENTRO,CV,15,14,0.92%,101.1 dias,2,2,1,7,3,19.9
GENIBAÚ,CV,15,14,0.92%,101.1 dias,4,2,6,3,0,0.0
CIDADE 2000,CV,15,15,0.99%,101.1 dias,1,2,3,9,0,0.0
PARQUE MANIBURA,CV,14,14,0.92%,108.3 dias,5,3,2,4,0,0.0
AUTRAN NUNES,N/D,14,13,0.86%,108.3 dias,6,3,4,1,0,0.0
PARQUE PRESIDENTE VARGAS,CV,13,13,0.86%,116.6 dias,1,3,3,6,0,0.0
MOURA BRASIL,CV,12,12,0.79%,126.3 dias,4,2,2,4,0,0.0
CIDADE DOS FUNCIONÁRIOS,N/D,12,12,0.79%,126.3 dias,2,5,2,3,0,0.0
PARQUE SANTA ROSA,CV,12,11,0.73%,126.3 dias,1,2,6,3,0,0.0
DIF III,N/D,12,11,0.73%,126.3 dias,5,3,3,1,0,0.0
CAMBEBA,N/D,11,10,0.66%,137.8 dias,2,2,3,2,2,13.3
PAPICU,CV,11,10,0.66%,137.8 dias,4,0,2,5,0,0.0
JOAQUIM TÁVORA,N/D,11,11,0.73%,137.8 dias,2,4,3,2,0,0.0
CONJUNTO CEARÁ I,CV,11,11,0.73%,137.8 dias,2,3,4,2,0,0.0
FÁTIMA,CV,11,11,0.73%,137.8 dias,1,3,5,2,0,0.0
MUCURIPE,N/D,11,10,0.66%,137.8 dias,1,4,3,3,0,0.0
VILA UNIĂO,CV,10,10,0.66%,151.6 dias,5,4,0,1,0,0.0
JÓQUEI CLUBE,N/D,10,10,0.66%,151.6 dias,4,2,1,3,0,0.0
AMADEU FURTADO,N/D,10,9,0.59%,151.6 dias,0,3,4,3,0,0.0
PARANGABA,CV,9,9,0.59%,168.4 dias,5,1,1,2,0,0.0
JARDIM CEARENSE,CV,9,7,0.46%,168.4 dias,1,0,6,2,0,0.0
MONTESE,CV,8,8,0.53%,189.5 dias,5,1,2,0,0,0.0
DEMÓCRITO ROCHA,CV,8,8,0.53%,189.5 dias,2,2,2,2,0,0.0
JARDIM AMÉRICA,CV,8,7,0.46%,189.5 dias,3,2,3,0,0,0.0
COUTO FERNANDES,N/D,8,7,0.46%,189.5 dias,1,4,0,3,0,0.0
DE LOURDES,N/D,7,7,0.46%,216.6 dias,2,2,1,2,0,0.0
SALINAS,CV,7,7,0.46%,216.6 dias,0,3,1,3,0,0.0
ENGENHEIRO LUCIANO CAVALCANTE,N/D,7,7,0.46%,216.6 dias,0,1,3,3,0,0.0
PANAMERICANO,N/D,6,6,0.4%,252.7 dias,6,0,0,0,0,0.0
MANUEL DIAS BRANCO,N/D,6,6,0.4%,252.7 dias,2,2,0,2,0,0.0
BOM FUTURO,N/D,6,5,0.33%,252.7 dias,4,2,0,0,0,0.0
BENFICA,CV,6,5,0.33%,252.7 dias,2,2,2,0,0,0.0
ELLERY,CV,6,6,0.4%,252.7 dias,3,2,0,1,0,0.0
BELA VISTA,CV,5,5,0.33%,303.2 dias,3,1,1,0,0,0.0
ALDEOTA,PCC,5,5,0.33%,303.2 dias,2,0,2,1,0,0.0
MARECHAL RONDON,CV,4,4,0.26%,379.0 dias,2,2,0,0,0,0.0
RACHEL DE QUEIROZ,CV,4,4,0.26%,379.0 dias,3,0,1,0,0,0.0
RODOLFO TEÓFILO,N/D,4,4,0.26%,379.0 dias,4,0,0,0,0,0.0
SÃO JOÃO DO TAUAPE,CV,4,4,0.26%,379.0 dias,1,1,1,1,0,0.0
ALTO ALEGRE II,CV,4,4,0.26%,379.0 dias,1,1,0,2,0,0.0
GUADALAJARA,CV,4,4,0.26%,379.0 dias,1,2,1,0,0,0.0
PARREÃO,N/D,4,4,0.26%,379.0 dias,0,2,0,2,0,0.0
AEROPORTO,CV,3,3,0.2%,505.3 dias,1,1,0,1,0,0.0
MONTE CASTELO,CV,3,3,0.2%,505.3 dias,1,1,0,1,0,0.0
URUCUTUBA,CV,3,3,0.2%,505.3 dias,0,2,1,0,0,0.0
DIONÍSIO TORRES,N/D,3,3,0.2%,505.3 dias,0,2,1,0,0,0.0
PARQUE ALBANO,CV,3,3,0.2%,505.3 dias,0,1,1,1,0,0.0
PARQUELÂNDIA,CV,3,3,0.2%,505.3 dias,0,2,1,0,0,0.0
PARQUE ARAXÁ,CV,3,3,0.2%,505.3 dias,0,1,2,0,0,0.0
MEIRELES,N/D,2,2,0.13%,758.0 dias,1,0,1,0,0,0.0
PARQUE DAS NAÇÕES,CV,2,2,0.13%,758.0 dias,1,0,1,0,0,0.0
INDUSTRIAL,CV,2,2,0.13%,758.0 dias,0,1,1,0,0,0.0
DAMAS,N/D,2,2,0.13%,758.0 dias,0,1,1,0,0,0.0
