global_rank,micronode_id,score,bairro,regional,faction,longitude,latitude,local_street_pressure,nearby_streets_count,nearby_streets
64,Comunidade da Portelinha- Messejana,62.034,MESSEJANA,capital,MASSA,-38.4925862,-3.818338,13.388,48,COMUNIDADE DA PORTELINHA- MESSEJANA; RUA NICOLAU COELHO; RUA VILAMAR DAMASCENO
65,Rodoviária - Maranguape,61.909,MARACANAÚ,rmf,CV,-38.680890857142856,-3.8962617857142847,8.882,28,RODOVIÁRIA - MARANGUAPE; RUA CHICÓ ANÍSIO; TANGUEIRA
66,Favela da Cirandar,61.902,BARRA DO CEARÁ,capital,CV,-38.5738459375,-3.7034288125000003,25.06,87,FAVELA DA CIRANDAR; FAVELA DA 3P; COMUNIDADE DO CIMPELCO (COMPLEXO DA BARRA DO CEARÁ)
67,Condomínio da 6 (Complexo da Barra do Ceará),61.827,BARRA DO CEARÁ,capital,CV,-38.575895125,-3.703581625,25.054,84,CONDOMÍNIO DA 6 (COMPLEXO DA BARRA DO CEARÁ); COMUNIDADE DO CIMPELCO (COMPLEXO DA BARRA DO CEARÁ); FAVELA DO BICAL
68,Comunidade da Conquista,61.709,MESSEJANA,capital,MASSA,-38.493964181818185,-3.8212205454545454,12.553,46,RUA LETÍCIA; COMUNIDADE DA CONQUISTA; RUA VILAMAR DAMASCENO
69,Beco da Maravilha,61.69,MESSEJANA,capital,CV,-38.488959,-3.8290662500000003,12.856,52,BECO DA MARAVILHA; RUA DOUTOR JOAQUIM BENTO; RUA SANTO EXPEDITO
70,Morro da Colônia (Complexo da Barra do Ceará),61.638,CRISTO REDENTOR,capital,CV,-38.571580375,-3.7052915,24.581,90,RUA JOSÉ LUÍS NETO; RUA TAMBAÚ; MORRO DA COLÔNIA (COMPLEXO DA BARRA DO CEARÁ)
71,Comunidade Olical,61.564,BARRA DO CEARÁ,capital,CV,-38.575221600000006,-3.7098970000000002,24.697,95,COMUNIDADE OLICAL; CONJUNTO CIDADE DE DEUS OU CDD; COMANDINHO
72,Comunidade do Cimpelco (Complexo da Barra do Ceará),61.516,BARRA DO CEARÁ,capital,CV,-38.57488875000001,-3.702525750000001,24.471,84,COMUNIDADE DO CIMPELCO (COMPLEXO DA BARRA DO CEARÁ); 4 VARAS; FAVELA DA CIRANDAR
73,Parque Iracema I,61.414,MESSEJANA,capital,MASSA,-38.49328105882353,-3.8167911176470586,11.77,45,PARQUE IRACEMA I; COMUNIDADE DA PORTELINHA- MESSEJANA; RUA NICOLAU COELHO
