w_ewma,w_lgbm,w_hist,w_target,p10,p20,r10,r20
0.4,0.4,0.2,-0.0,0.21046511627906983,0.14127906976744184,0.5033222591362125,0.6432862679955703
0.3,0.2,0.2,0.3,0.21046511627906983,0.13662790697674423,0.5011074197120708,0.6167358803986711
0.7,0.2,0.1,0.0,0.2093023255813954,0.15290697674418605,0.45084440753045407,0.6847729789590254
0.7,0.0,0.1,0.2,0.2093023255813954,0.15,0.450844407530454,0.6589285714285714
0.7,0.1,0.1,0.1,0.2093023255813954,0.14941860465116277,0.4545265780730897,0.659579180509413
0.4,0.4,0.0,0.2,0.2093023255813954,0.14360465116279067,0.49521040974529346,0.6525885935769656
0.3,0.0,0.3,0.4,0.2093023255813954,0.13488372093023257,0.5019795127353267,0.6087901439645625
0.7,0.0,0.2,0.1,0.208139534883721,0.14883720930232555,0.4537513842746401,0.6558139534883721
0.6,0.1,0.0,0.3,0.20813953488372094,0.14941860465116277,0.44966777408637876,0.659579180509413
0.4,0.5,0.1,-0.0,0.2069767441860466,0.14360465116279067,0.4957641196013288,0.6560769656699889
0.3,0.3,0.0,0.4,0.2069767441860466,0.14127906976744184,0.4935492801771871,0.6432862679955703
0.7,0.1,0.2,0.0,0.20697674418604656,0.14709302325581394,0.4520902547065338,0.6502768549280177
0.3,0.1,0.3,0.3,0.20697674418604656,0.13372093023255816,0.4985880398671096,0.6035575858250276
0.7,0.1,0.0,0.2,0.20697674418604653,0.15232558139534882,0.44483665559246954,0.6704457364341085
0.7,0.2,0.0,0.1,0.20697674418604653,0.15,0.44483665559246954,0.6720376522702104
0.4,0.5,0.0,0.1,0.20581395348837217,0.14360465116279067,0.48967331118493906,0.6560769656699889
0.7,0.3,0.0,0.0,0.20581395348837211,0.15174418604651163,0.44425526024363227,0.6772978959025471
0.7,0.0,0.0,0.3,0.20581395348837211,0.14941860465116277,0.44242801771871537,0.6569905869324473
0.7,0.0,0.3,0.0,0.20465116279069773,0.14709302325581394,0.4486987818383168,0.6502768549280177
0.3,0.3,0.1,0.3,0.20465116279069773,0.14011627906976745,0.4888981173864894,0.6374723145071982
0.4,0.6,0.0,0.0,0.20348837209302334,0.14360465116279067,0.48153377630121813,0.6560769656699889
0.3,0.4,0.0,0.3,0.20348837209302328,0.14127906976744184,0.48502214839424135,0.6432862679955703
0.3,0.0,0.4,0.3,0.20348837209302328,0.13255813953488374,0.49277408637873754,0.5999584717607973
0.9,0.0,0.1,-0.0,0.20348837209302326,0.15872093023255812,0.4494878183831672,0.726453488372093
0.9,0.1,0.0,-0.0,0.20348837209302326,0.1569767441860465,0.4494878183831672,0.7251799557032116
1.0,0.0,0.0,0.0,0.20232558139534887,0.15930232558139537,0.47396179401993355,0.696594684385382
0.3,0.5,0.0,0.2,0.19883720930232565,0.14127906976744184,0.47542912513842744,0.6432862679955703
0.3,0.3,0.2,0.2,0.1976744186046512,0.13953488372093026,0.4773671096345514,0.6345653377630122
0.3,0.4,0.1,0.2,0.1976744186046512,0.13953488372093026,0.47542912513842733,0.6345653377630122
0.3,0.5,0.1,0.1,0.19534883720930238,0.13953488372093026,0.4711655592469546,0.6345653377630122
