source,date,lat,lon,bairro_assigned,bairro_text
data_with_coordinates.js,2025-01-06T03:00:00.000Z,-4.0513677,-39.4535651,,Nossa Senhora Do Rosário
data_with_coordinates.js,2025-01-06T03:00:00.000Z,-3.7612918,-38.5147122,,Lagamar
data_with_coordinates.js,2025-01-06T03:00:00.000Z,-4.7991606,-40.0675988,,Jucás
data_with_coordinates.js,2025-01-06T03:00:00.000Z,-7.0283967,-39.2814162,,Zona Rural
data_with_coordinates.js,2025-01-06T03:00:00.000Z,-4.3485306,-37.9353857,,Córrego Do Sal
data_with_coordinates.js,2025-01-06T03:00:00.000Z,-6.3605269,-39.2893492,,07 de setembro
data_with_coordinates.js,2025-01-06T03:00:00.000Z,-3.7207255,-38.5232263,,Centro
data_with_coordinates.js,2025-01-06T03:00:00.000Z,-3.6682085,-40.3776642,,Caiçara
data_with_coordinates.js,2025-01-06T03:00:00.000Z,-4.1643178,-38.4742644,,Alto Do Bode
data_with_coordinates.js,2025-01-06T03:00:00.000Z,-3.8890521,-38.5287853,,Alto Do Ancuri
data_with_coordinates.js,2025-01-06T03:00:00.000Z,-3.7290824,-38.5660544,,São Gerardo
data_with_coordinates.js,2025-01-06T03:00:00.000Z,-3.6937105,-40.365899,,Dom José 2
data_with_coordinates.js,2025-01-06T03:00:00.000Z,-6.236033,-38.9233462,,Centro
data_with_coordinates.js,2025-01-06T03:00:00.000Z,-3.7957483,-38.6061688,,Bom Jardim
data_with_coordinates.js,2025-01-06T03:00:00.000Z,-4.9430995,-38.9621433,,Lagoa
data_with_coordinates.js,2025-01-06T03:00:00.000Z,-3.893352,-38.5943826,,Alvorada
data_with_coordinates.js,2025-01-06T03:00:00.000Z,-6.0018165,-40.2909473,,Centro
data_with_coordinates.js,2025-01-06T03:00:00.000Z,-4.0585966,-39.55878,,Zona Rural
data_with_coordinates.js,2025-01-06T03:00:00.000Z,-4.7037933,-40.5581325,,Pantanal
data_with_coordinates.js,2025-01-06T03:00:00.000Z,-4.2185398,-38.1540916,,Zona Rural
data_with_coordinates.js,2025-01-06T03:00:00.000Z,-3.8886629,-38.6170615,,Jereissati 2
data_with_coordinates.js,2025-01-06T03:00:00.000Z,-3.8308758,-38.5027285,,Messejana
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-3.7691697,-38.6171491,,Conjunto Ceará
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-3.7286165,-38.549522,,São Gerardo
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-3.9673005,-40.355428,,Croaíras
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-3.7207788,-38.5465662,,Jacarecanga
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-3.6616004,-40.382088,,Renato Parente
data_with_coordinates.js,2025-01-07T00:00:00.000Z,-4.898203582511587,-39.20646929716776,,Alto do Cruzeiro
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-4.1646314,-40.7525036,,Centro
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-5.4393089,-40.0032849,,Zona Rural
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-4.9894664,-39.0183422,,Campo Novo
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-3.7447352,-38.4502936,,Praia do Futuro
data_with_coordinates.js,2025-01-06T03:00:00.000Z,-5.177537,-40.8984056,,Zona Rural
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-3.887798,-38.5926047,,Alvorada
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-4.706651,-40.5626139,,Alto da Boa Vista
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-4.8420616,-37.7801,,Lagoa
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-3.9152751,-38.631927,,Olho D'agua
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-6.352845,-39.3158077,,Areias II
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-3.9878695,-39.5823818,,Centro
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-7.1823863,-39.3274572,,Zona Rural
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-3.7296938,-38.5588596,,São Gerardo
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-6.4098868,-38.8522229,,Posto Continental
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-3.8336083,-38.5848907,,Aracape
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-3.8121216,-40.95875,,Zona Rural
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-3.6932274,-40.3644263,,Dom José II
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-3.8016719,-38.6194764,,"Conj. Miguel Arrais, Siqueira"
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-7.581836,-39.286606,,Vila Santa Terezinha
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-3.79881,-38.5840111,,Vila Manoel Sátiro
data_with_coordinates.js,2025-01-07T00:00:00.000Z,-4.344731,-38.6506614,,Zona Rural
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-7.3266559,-39.308953,,Centro
