id,data,bairro_assigned,cidade_norm,latitude,longitude,tipo,tipo_evento
9670,2025-02-26,Prefeito José Walter,fortaleza,-3.842120776,-38.5558006453,cvli,HOMICIDIO DOLOSO
9671,2025-02-26,Vila Velha,fortaleza,-3.7176490712,-38.5909648039,cvli,HOMICIDIO DOLOSO
9672,2025-02-26,Canindezinho,fortaleza,-3.814809886,-38.6096242615,cvli,HOMICIDIO DOLOSO
9674,2025-02-26,Barra Do Ceará,fortaleza,-3.7146170585,-38.579766675,cvli,HOMICIDIO DOLOSO
9679,2025-02-27,Quintino Cunha,fortaleza,-3.733210678,-38.5989901904,cvli,HOMICIDIO DOLOSO
9682,2025-02-28,Planalto Ayrton Senna,fortaleza,-3.8333667623,-38.5637771766,cvli,HOMICIDIO DOLOSO
9683,2025-02-28,Jangurussu,fortaleza,-3.8560353153,-38.5125247987,cvli,HOMICIDIO DOLOSO
9686,2025-02-28,Quintino Cunha,fortaleza,-3.729346529,-38.5990197477,cvli,HOMICIDIO DOLOSO
9687,2025-02-28,Demócrito Rocha,fortaleza,-3.7630455848,-38.5671355343,cvli,HOMICIDIO DOLOSO
9689,2025-03-01,Pirambu,fortaleza,-3.7086589644,-38.5535504054,cvli,HOMICIDIO DOLOSO
9694,2025-03-01,Bom Jardim,fortaleza,-3.7939512885,-38.5918891295,cvli,HOMICIDIO DOLOSO
9698,2025-03-01,Guajeru,fortaleza,-3.8282948814,-38.4768930054,cvli,HOMICIDIO DOLOSO
9699,2025-03-01,Guajeru,fortaleza,-3.8282948814,-38.4768930054,cvli,HOMICIDIO DOLOSO
9703,2025-03-02,Quintino Cunha,fortaleza,-3.7308419596,-38.603462875,cvli,HOMICIDIO DOLOSO
9705,2025-03-02,Álvaro Weyne,fortaleza,-3.7187782775,-38.5695696631,cvli,HOMICIDIO DOLOSO
9708,2025-03-02,Centro,fortaleza,-3.7341895175,-38.5314412054,cvli,HOMICIDIO DOLOSO
9711,2025-03-03,Canindezinho,fortaleza,-3.7974484698,-38.5923275477,cvli,HOMICIDIO DOLOSO
9718,2025-03-04,Mondubim,fortaleza,-3.8158474911,-38.5779416343,cvli,HOMICIDIO DOLOSO
9720,2025-03-04,Prefeito José Walter,fortaleza,-3.8437037538,-38.5545184766,cvli,HOMICIDIO DOLOSO
9724,2025-03-05,Prefeito José Walter,fortaleza,-3.8392867723,-38.5612123327,cvli,HOMICIDIO DOLOSO
9728,2025-03-05,Passaré,fortaleza,-3.8080417653,-38.5441178174,cvli,HOMICIDIO DOLOSO
9740,2025-03-07,Barra Do Ceará,fortaleza,-3.7066759579,-38.5744109919,cvli,HOMICIDIO DOLOSO
