Controle,Data,Natureza,BairroOcor,bairro_norm,CidadeOcor,total_armas_cache,total_drogas_cache,Dinheiro_Apreendido,lat_ibge,long_ibge
35298,2025-06-05,TRÁFICO DE DROGAS,Vila do Padre,Vila Peri,Pedra Branca,0,25.1,155.0,,
35299,2025-06-05,PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO,Cidade de Deus,Cidade Dos Funcionários,Forquilha,1,0.0,,,
35300,2025-06-05,ADULTERAÇÃO DE VEÍCULO - Art. 311/CPB,Centro,Centro,Marco,0,0.0,,,
35301,2025-06-05,MANDADO DE PRISÃO; PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO,Ladeira,Cajazeiras,Itapipoca,1,0.0,,,
35304,2025-06-05,TRÁFICO DE DROGAS; POSSE ILEGAL DE MUNIÇÃO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003,Fátima,Fátima,Aracati,0,546.2,10.0,,
35305,2025-06-05,FURTO - Art. 155/CPB,Alto da Bela Vista,Alto Da Balança,Brejo Santo,0,0.0,,,
35306,2025-06-06,APRESENTAÇÃO E APREENSÃO DE MUNIÇÃO,Alto do Cemitério,Barra Do Ceará,Guaiúba,0,4.0,,,
35308,2025-06-06,TRÁFICO DE DROGAS,Canindezinho,Canindezinho,Fortaleza,0,0.0,,,
35309,2025-06-06,TRÁFICO DE DROGAS,Benfica,Benfica,Fortaleza,0,9.5,,,
35311,2025-06-06,DIREÇÃO PERIGOSA - Art.175/CTB,Cruzeiro,Centro,Itapajé,0,0.0,,,
35312,2025-06-06,TRÁFICO DE DROGAS; ASSOCIAÇÃO AO TRÁFICO DE DROGAS - Art. 35/Lei nº 11.343/2006,Parada,Parangaba,São Gonçalo do Amarante,0,49.0,,,
35313,2025-06-06,APRESENTAÇÃO E APREENSÃO DE VEÍCULO,Antônio Bezerra,Antônio Bezerra,Fortaleza,0,0.0,,,
35316,2025-06-06,VEÍCULO LOCALIZADO,Aracatiara,Aracapé,Amontada,0,0.0,,,
