agencia,ais,area_faccao,arma,bairro,cidade,comment,consolidado,data,database,editar,excluir,hora,id,id_evento,idade,latitude,longitude,name,sexo,tipo,tipo_evento,type,version,dia_semana,eh_feriado,dia_quente_cvp,clima,precipitacao_mm,qtd_mortes,nature,ais_original,regiao_risp
2.0,AIS 16,,,MESSEJANA,Fortaleza,,Sim,2026-05-04,,,,10:37:36,78312,4424344.0,,-3.8310241101,-38.492598534,RUA DOUTOR PERGENTINO MAIA,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,True,,,,ROUBO A PESSOA,AIS 16,CAPITAL LESTE
2.0,AIS 19,,,PAPICU,Fortaleza,,Sim,2026-05-03,,,,19:59:37,78311,4424338.0,,-3.7388810329,-38.4866632746,RUA JOAQUIM LIMA,NONE,cvp,ROUBO A PESSOA,,,Domingo,False,True,,,,ROUBO A PESSOA,AIS 21,CAPITAL LESTE
2.0,AIS 05,,,FÁTIMA,Fortaleza,,Sim,2026-05-03,,,,00:16:15,78310,4424332.0,,-3.7546920953,-38.5289647913,RUA GRACILIANO RAMOS,NONE,cvp,ROUBO A PESSOA,,,Domingo,False,True,,,,ROUBO A PESSOA,AIS 21,CAPITAL OESTE
2.0,AIS 18,,,CENTRO,Fortaleza,,Sim,2026-05-03,,,,08:18:32,78309,4424335.0,,-3.7312569536,-38.5368488513,RUA PRINCESA ISABEL,NONE,cvp,ROUBO A PESSOA,,,Domingo,False,True,,,,ROUBO A PESSOA,AIS 21,CAPITAL OESTE
2.0,AIS 19,,,COCÓ,Fortaleza,,Sim,2026-05-03,,,,15:54:04,78308,4424336.0,,-3.7443361429,-38.4772608143,RUA ARAGÃO FONTENELE,NONE,cvp,ROUBO A PESSOA,,,Domingo,False,True,,,,ROUBO A PESSOA,AIS 21,CAPITAL LESTE
2.0,AIS 19,,,JOAQUIM TÁVORA,Fortaleza,,Sim,2026-05-03,,,,23:16:19,78307,4424340.0,,-3.7468093771,-38.5127489276,AVENIDA RUI BARBOSA,NONE,cvp,ROUBO A PESSOA,,,Domingo,False,True,,,,ROUBO A PESSOA,AIS 21,CAPITAL LESTE
2.0,AIS 04,,,ITAPAJE,Itapajé,,Sim,2026-05-03,,,,06:36:23,78306,4424369.0,,-3.6848332464,-39.5854483158,RUA BACHAREL JOSÉ AIRTON ROCHA,NONE,cvp,ROUBO A CONDOMÍNIO,,,Domingo,False,True,,,,ROUBO A CONDOMÍNIO,AIS 04,NORDESTE
2.0,AIS 17,,,PARQUE PRESIDENTE VARGAS,Maracanaú,,Sim,2026-05-02,,,,04:48:44,78305,4424362.0,,-3.8679003992,-38.626142121,RUA FERREIRA NETO,NONE,cvp,ROUBO A ESTABELECIMENTO DE ENSINO,,,Sábado,False,True,,,,ROUBO A ESTABELECIMENTO DE ENSINO,AIS 17,CAPITAL OESTE
2.0,AIS 17,,,CANINDEZINHO,Maracanaú,,Sim,2026-05-02,,,,03:51:00,78304,4424361.0,,-3.8416913144,-38.5735145792,AVENIDA RADIALISTA JOÃO RAMOS,NONE,cvp,ROUBO A PESSOA,,,Sábado,False,True,,,,ROUBO A PESSOA,AIS 17,CAPITAL OESTE
2.0,AIS 17,,,CANINDEZINHO,Maracanaú,,Sim,2026-05-02,,,,00:54:40,78303,4424360.0,,-3.8562522147,-38.588798479,AVENIDA DOUTOR MENDEL STEINBRUCH,NONE,cvp,ROUBO A POSTO DE GASOLINA,,,Sábado,False,True,,,,ROUBO A POSTO DE GASOLINA,AIS 17,CAPITAL OESTE
