cidade,bairro,rua,cvli_count
ITAPIPOCA,DESCONHECIDO,RUA FRANCISCO DE CASTRO FILHO,3
SOBRAL,DESCONHECIDO,RUA MÃE CRISPINA,3
CAUCAIA,DESCONHECIDO,BR-222,3
AMONTADA,DESCONHECIDO,ESTR. CAETANOS DE BAIXO,3
IBICUITINGA,DESCONHECIDO,RUA CAPITÃO MANOEL ANTÔNIO,3
SOBRAL,DESCONHECIDO,RUA PROFESSOR JOSÉ OLIMAR MAGALHÃES CARNEIRO,3
SOBRAL,DESCONHECIDO,RUA SETE DE SETEMBRO,3
SOBRAL,DESCONHECIDO,RUA SETOR 1,3
SOBRAL,DESCONHECIDO,RUA TUBIBA,3
ARACATI,DESCONHECIDO,VILA CUMBÉ,3
GRANJA,DESCONHECIDO,SITIO TIAIA DE CIMA,3
SOBRAL,DESCONHECIDO,TRAVESSA RAIMUNDO NONATO DOS SANTOS,3
AQUIRAZ,DESCONHECIDO,RUA JOSÉ AMORA MOREIRA,3
SOBRAL,DESCONHECIDO,VILA UNIÃO,3
SÃO BENEDITO,DESCONHECIDO,CE-187,3
ITAPIPOCA,DESCONHECIDO,AVENIDA JOSÉ DO PATROCÍNIO,3
BELA CRUZ,DESCONHECIDO,ESTRADA SEM NOME,3
CASCAVEL,DESCONHECIDO,ESTRADA ZABUMBA ESTRADA NOVA,3
SÃO BENEDITO,DESCONHECIDO,RUA MINISTRO ANTÔNIO COELHO,3
CRATO,DESCONHECIDO,AVENIDA JOAQUIM PINHEIRO BEZERRA DE MENEZES,3
SÃO GONÇALO DO AMARANTE,DESCONHECIDO,AVENIDA BEATRIZ BRAGA,3
CAMPOS SALES,DESCONHECIDO,RUA VALDEMAR FALCÃO,3
SÃO GONÇALO DO AMARANTE,DESCONHECIDO,CE-423,3
ITAPIPOCA,DESCONHECIDO,BR-402,3
ITAPAJÉ,DESCONHECIDO,RUA JOAQUIM CARLOS HOLANDA,3
AMONTADA,DESCONHECIDO,RUA ADERBAL PRACIANO SAMPAIO,3
SÃO GONÇALO DO AMARANTE,DESCONHECIDO,RUA MARCIONÍLIA SAMPAIO,3
SÃO GONÇALO DO AMARANTE,DESCONHECIDO,RUA RAIMUNDO LAUREANO SAMPAIO,3
CRATO,DESCONHECIDO,RUA SATURNINO CANDEIA,3
ITAREMA,DESCONHECIDO,POVOADO PATOS,3
BARBALHA,DESCONHECIDO,MALVINAS,3
CRATO,DESCONHECIDO,RUA DOUTOR MANUEL MACEDO,3
CRUZ,DESCONHECIDO,RUA VEREADOR MUNDICO MARTINS,3
TABULEIRO DO NORTE,DESCONHECIDO,ESTRADA SEM NOME,3
GUAIÚBA,DESCONHECIDO,RUA CUSTÓDIO TEIXEIRA DE MELO,3
CAUCAIA,DESCONHECIDO,RUA ROSENA,3
ITAREMA,DESCONHECIDO,RUA JOÃO AMÂNCIO,3
TAMBORIL,DESCONHECIDO,RUA JOAQUIM FELÍCIO DE OLIVEIRA,3
ITAPIPOCA,DESCONHECIDO,RUA JOAQUIM RODRIGUES TEIXEIRA DE MENEZES,3
BOA VIAGEM,DESCONHECIDO,ESTRADA PARA POÇO D ÁGUA,3
TEJUÇUOCA,DESCONHECIDO,RUA ARMANDO FERREIRA DA SILVA,3
TIANGUÁ,DESCONHECIDO,ESTRADA SEM NOME,3
TIANGUÁ,DESCONHECIDO,RUA FRANCISCO ANANIAS DE VASCONCELOS,3
TIANGUÁ,DESCONHECIDO,RUA TRINTA E UM DE MAIO,3
TIANGUÁ,TIANGUA,RUA DAS PALMEIRAS COMPRIDAS,3
TIANGUÁ,TIANGUA,RUA JOSÉ NOGUEIRA DE VASCONCELOS,3
TIANGUÁ,TIANGUA,RUA MANOEL LOURENÇO DE VASCONCELOS,3
CANINDÉ,DESCONHECIDO,ESTRADA SEM NOME,3
CAMOCIM,DESCONHECIDO,RUA ANTÔNIO LIMA,3
TRAIRI,DESCONHECIDO,ESTRADA PARÁ CAIXA DE ÁGUA DE BONFIM,3
AQUIRAZ,DESCONHECIDO,RUA POSSIDÔNIO SOARES,3
CAPISTRANO,DESCONHECIDO,ESTRADA SEM NOME,3
TRAIRI,DESCONHECIDO,RUA DA PRAIA,3
TRAIRI,DESCONHECIDO,RUA DOUTOR JOSÉ DA SILVEIRA,3
ITAREMA,DESCONHECIDO,RUA MORRO,3
CAMOCIM,DESCONHECIDO,RUA BELA VISTA,3
CAUCAIA,DESCONHECIDO,RUA DAS ACACIAS,3
CHORÓ,DESCONHECIDO,FAZENDA UMARI,3
IRACEMA,DESCONHECIDO,ESTRADA SEM NOME,3
CAUCAIA,DESCONHECIDO,ESTRADA GARROTE CUMBUCO,3
CHORÓ,DESCONHECIDO,RUA CORONEL JOÃO PARACAMPOS,3
VARJOTA,DESCONHECIDO,RUA ANTº FLORÊNCIO DE ARAÚJO,3
ITAPIÚNA,DESCONHECIDO,RUA MANUEL VIANA,3
VIÇOSA DO CEARÁ,DESCONHECIDO,CE-187,3
CRATO,DESCONHECIDO,RUA GENERAL JOAQUIM PINHEIRO MONTEIRO,2
ARACATI,DESCONHECIDO,ESTRADA DE SÃO CHICO,2
GUAIÚBA,DESCONHECIDO,CE-451,2
ITAPAJÉ,DESCONHECIDO,RUA FAUSTO PINHEIRO,2
CAMOCIM,DESCONHECIDO,RUA JOAQUIM TÁVORA,2
ARACATI,DESCONHECIDO,ROTA DO SOL NASCENTE,2
ARACATI,DESCONHECIDO,RUA ARMANDO PRAÇA,2
CAMOCIM,DESCONHECIDO,RUA PAISSANDÚ,2
ARACATI,DESCONHECIDO,RUA CORONEL POMPEU,2
CAMOCIM,DESCONHECIDO,RUA SANTA RITA I,2
CAUCAIA,DESCONHECIDO,AVENIDA AMARO RODRIGUES DOS SANTOS,2
ARACATI,DESCONHECIDO,RUA DESCIDA DA PRAIA,2
CAMOCIM,DESCONHECIDO,RUA SANTOS DUMONT,2
CAMOCIM,DESCONHECIDO,RUA TABELIÃO MARIO ÁGUIAR COELHO,2
ARACATI,DESCONHECIDO,RUA FRANCISCO JANES ZARANZA,2
CAUCAIA,DESCONHECIDO,AVENIDA DOS COQUEIROS,2
ARACATI,DESCONHECIDO,RUA HÍLTON GONDIN BANDEIRA,2
CHOROZINHO,DESCONHECIDO,RODOVIA BRUNILO JACÓ DE CASTRO E SILVA,2
CRATO,DESCONHECIDO,RUA JOSÉ HAMILTON TERTULIANO,2
CHOROZINHO,DESCONHECIDO,RUA A,2
CAUCAIA,DESCONHECIDO,AVENIDA LITORÂNEA,2
CAMPOS SALES,DESCONHECIDO,ESTRADA SEM NOME,2
