micronodo,area_oficial,faction,lat,long,cvli_count_500m,cvli_count_1km,cvli_count_2km,cvli_count_total
Travessa,BARRA DO CEARÁ,CV,-3.7000815,-38.582844202047646,18,18,18,18
Favela do Sabão ,JACARECANGA,CV,-3.7157475,-38.54595650625279,14,18,18,18
Carlito Pamplona,CARLITO PAMPLONA,CV,-3.715066,-38.55805684067792,18,18,18,18
MIRAIMA,MIRAIMA,CV,-3.56507955,-39.96765792453306,16,18,22,26
Favela do Facão ,CURIÓ,CV,-3.8158645,-38.47903583526811,18,18,18,18
Canal Leste,BOM JARDIM,CV,-3.793477,-38.60708037167892,18,18,18,18
Potira lll,GUADALAJARA,CV,-3.760682,-38.63763413119214,16,18,18,18
Portelinha,MARACANAÚ,CV,-3.8670375,-38.66872848529412,12,18,20,20
Santo Antônio,PEDRAS,CV,-3.8916055,-38.49971487771015,10,18,20,20
Guará,GUADALAJARA,CV,-3.756553,-38.62978226102415,10,18,18,18
Pedra Branca,PEDRA BRANCA,CV,-4.1695355,-38.476974,12,18,18,18
Comunidade do Areal,AEROLÂNDIA,CV,-3.7784195,-38.51251775773616,18,18,18,18
Residencial Dummar 3,MARACANAÚ,CV,-3.879677,-38.59729885211465,18,18,18,18
Favela do Circo,JANGURUSSU,CV,-3.8441965,-38.52025697010663,18,18,18,18
Comunidade da maravilha,ALTO DA BALANÇA,CV,-3.7588465,-38.52137841703418,18,18,18,18
Anario Braga ,ANTÔNIO BEZERRA,CV,-3.7359285,-38.59205487517456,18,18,18,18
José Walter,PREFEITO JOSÉ WALTER,CV,-3.838715,-38.55835632196657,10,18,18,18
Ceará Brasil,PARQUE SANTA MARIA,CV,-3.8386485,-38.498396496812646,16,18,18,18
Acaracuzinho,ALTO ALEGRE II,CV,-3.8484495,-38.61440558739064,18,18,18,18
Itapoa,PARQUE SOLEDADE,CV,-3.715921,-38.66946822418693,18,18,18,18
Comunidade do Açude,PARQUE SOLEDADE,CV,-3.7401915,-38.65710401299192,18,18,18,18
Comunidade do Paredão,GRANJA PORTUGAL,CV,-3.7848255,-38.60322335367432,18,18,18,18
Aeroporto ,AEROPORTO,PCC,-7.2084905,-39.27089166742664,17,18,18,22
Jagatá ,CONJUNTO PALMEIRAS,CV,-3.852907,-38.52109006932153,18,18,18,18
Comunidade do Santo Afonso,JARDIM DAS OLIVEIRAS,CV,-3.775582,-38.505065653183024,18,18,18,18
Santa Terezinha ,PARQUE SĂO JOSÉ,CV,-3.7915295,-38.5901613327733,18,18,18,18
JATOBÁ,SIQUEIRA,CV,-3.8085715,-38.63233230207024,16,18,18,18
Cidade de Mucambo,MUCAMBO,CV,-3.904511,-40.74555138,12,18,22,24
MILAGRES,MILAGRES,PCC,-7.3106085,-38.946193713283975,8,18,18,33
Comunidade do Capim,HENRIQUE JORGE,CV,-3.7632575,-38.594054305713385,16,18,18,18
Comunidade do Museu - Pajuçara,CIDADE NOVA,CV,-3.865604,-38.58086107825783,16,18,18,18
ADEMIR MARTINS,JANGURUSSU,CV,-3.8545025,-38.51182507067247,18,18,18,18
Distrito de Pecém,PARACURU,CV,-3.553209,-38.83296065395794,6,17,23,28
Comunidade do Triângulo,COUTO FERNANDES,CV,-3.7597275,-38.56140679081633,15,17,17,17
Campo Velho- Quixadá,QUIXADA,CV,-4.9647475,-39.00859400897199,17,17,17,17
Piçarra,ITAPAJÉ,CV,-3.69079,-39.587041364950224,17,17,17,17
Comunidade do Riacinho,DEMÓCRITO ROCHA,CV,-3.7632955,-38.56433898514428,13,17,17,17
Cidade de Banabuiú,BANABUIÚ,CV,-5.3035630000000005,-38.91818389893617,8,17,17,24
Bairro Novo,PEDRAS,CV,-3.866931,-38.523069677438656,10,16,20,20
Nova Metrópole II,URUCUTUBA,CV,-3.772786,-38.654354627906976,16,16,16,16
Esplanada do Araturi,MARECHAL RONDON,CV,-3.767589,-38.63000694492254,16,16,16,16
Chaval,CHAVAL,MASSA,-3.037491,-41.24002248179825,7,16,17,26
Os Forno,COAÇU,MASSA,-3.842355,-38.48415435397543,16,16,16,16
Comunidade da Portelinha- Planalto Ayrton Senna,PLANALTO AYRTON SENNA,CV,-3.8285085,-38.5714402519849,16,16,16,16
Parque São José,PARQUE SĂO JOSÉ,CV,-3.7968895,-38.58915868952419,16,16,16,16
Olho D’Água,MARACANAÚ,CV,-3.9176135,-38.62585844521072,16,16,20,20
Cidade dos Anjos,SOBRAL,CV,-3.802558,-40.27065335390356,16,16,18,19
Tancredo Neves ,JARDIM DAS OLIVEIRAS,CV,-3.7836335,-38.50703731456041,16,16,16,16
Jardim Icaraí l,IPARANA,CV,-3.692546,-38.64941866504854,10,16,16,16
Favela Do 18 ,ALTO ALEGRE II,CV,-3.8280685,-38.626795127968336,16,16,16,16
Conjunto Habitacional Orgulho do Ceará,DIF III,CV,-3.857806,-38.55209190068011,16,16,24,24
Dedé Gama,PACAJUS,CV,-4.1784575,-38.47025880733053,8,16,16,16
Comunidade do Seu Rosa,JOSÉ DE ALENCAR,CV,-3.8146165,-38.475231743820224,16,16,16,16
Jereissati Setor F - Pacatuba,MARACANAÚ,CV,-3.892746,-38.60954231225716,16,16,16,16
Vacaria,ALTO ALEGRE II,CV,-3.8280375,-38.60501625816549,16,16,16,16
Gereba,PASSARÉ,MASSA,-3.8271207,-38.52842854870427,16,16,16,16
Favelinha - São Miguel,CURIÓ,MASSA,-3.8243195,-38.4804648011965,16,16,16,16
Ferros,ITAPAJÉ,CV,-3.7029535,-39.57347306879036,14,16,16,18
Sumaré,MERUOCA,TCP/GDE,-3.7001565,-40.36383262378881,13,16,16,16
Coqueiral,JOSÉ DE ALENCAR,CV,-3.816142,-38.471717170539385,16,16,16,16
Bairro do Aeroporto,TIANGUA,PCC,-3.722277,-41.01162898205455,16,16,16,16
Cajazeiras,CAJAZEIRAS,CV,-3.799961,-38.50991813461538,10,16,18,18
Comunidade da Rosalina (Complexo da Rosalina),PARQUE DOIS IRMĂOS,CV,-3.8051985,-38.5456734625965,16,16,16,16
VILA FATIMA ,JUAZEIRO DO NORTE,PCC,-7.2062224,-39.29924867067281,6,16,20,20
Levada,MESSEJANA,CV,-3.8249565,-38.4880188336917,14,16,16,16
Ap´s Acaracuzinho - ÁGUAS DE JAÇANÃ,ALTO ALEGRE II,CV,-3.845177,-38.62240587486133,16,16,16,16
Ruazinha,MARECHAL RONDON,CV,-3.7733155,-38.62442159394014,16,16,16,16
Comunidade De Itaperaoba,ITAPERI,CV,-3.7846465,-38.55082089737766,16,16,16,16
Ibicuitinga ,IBICUITINGA,CV,-4.9714075,-38.6371804550759,7,16,21,42
Mutirão ,HORIZONTE,CV,-4.094871,-38.49190602066116,16,16,16,16
Granjinha - Levada,GUAJERU,CV,-3.8288785,-38.485782262274085,16,16,16,16
Cidade de Barreira,BARREIRA,CV,-4.288603,-38.64003945519481,12,16,19,28
Mucunã - Maracanaú,MARACANAÚ,CV,-3.846034,-38.65740818191197,10,16,16,16
Itambé I,PARQUE SOLEDADE,CV,-3.728125,-38.65084886949304,16,16,16,16
FLORES,IGUATU,CV,-6.357290000000001,-39.29614070324941,12,16,16,16
Beco do Chico Vei,VARJOTA,CV,-3.7350305,-38.48055732104122,16,16,16,16
Vila Peri,VILA PERI,CV,-3.793897,-38.58334140890018,16,16,16,16
Vila Centenário,IGUATU,CV,-6.3694105,-39.31013210409347,16,16,16,16
Favela do Rato - Barroso ll,PASSARÉ,CV,-3.819259,-38.5239917906044,16,16,16,16
Croatá 2,PACAJUS,CV,-4.1729205,-38.45811296564215,2,16,16,16
Tucum,PACAJUS,CV,-4.1523905,-38.46398294401143,6,16,20,20
Vila Moskito,TABAPUÁ,CV,-3.7401565,-38.62176316394167,16,16,16,16
Parque Ipiranga ,TABAPUÁ,CV,-3.73509,-38.61747317878682,14,16,16,16
Capim De Roça ,PINDORETAMA,CV,-4.0944755,-38.29972671425888,8,16,20,28
Comunidade do Sossego - Quintino Cunha,ANTÔNIO BEZERRA,CV,-3.7360535,-38.59703130732662,16,16,16,16
Cidade de Tejuçuoca,TEJUÇUOCA,CV,-3.9879685,-39.580169329715446,11,16,19,35
Comunidade dos Plásticos - Quintino Cunha,QUINTINO CUNHA,CV,-3.733801,-38.59827161604185,16,16,16,16
Santa Marta,ALTO ALEGRE II,CV,-3.8279895,-38.620788982716064,10,16,16,16
Alto Novo,MERUOCA,CV,-3.6934665,-40.36127483894593,16,16,16,16
Alto Alegre,ALTO ALEGRE II,CV,-3.827131,-38.61013110889398,14,16,16,16
Estação - Boa Vista ,MARACANAÚ,CV,-3.887359,-38.62518408364899,14,16,16,16
Alto,PEDRAS,CV,-3.873893,-38.5078685851711,14,16,16,16
Comunidade Beira Rio de Baturité,BATURITE,CV,-4.318654,-38.884702078750976,16,16,16,16
Feira dos Peixes,GRAÇA,TCP/GDE,-4.0441595,-40.86200899401885,16,16,16,16
Bairro do Csu,TIANGUA,PCC,-3.7226665,-40.99376877321082,16,16,16,16
Portelinha ,ALTO ALEGRE II,CV,-3.849528,-38.619446270334926,16,16,16,16
Lago Azul - Barroso I,BARROSO,CV,-3.8193865,-38.51075875275362,16,16,16,16
Favela do Quadrado,PLANALTO AYRTON SENNA,CV,-3.834967,-38.568943613456696,16,16,16,16
Sem Terra,MERUOCA,CV,-3.6933645,-40.36523706593657,13,15,15,15
Comunidade Sem Terra,CANINDEZINHO,CV,-3.815239,-38.611004136286354,15,15,15,15
Comunidade Raquel,GRANJA LISBOA,CV,-3.7929785,-38.62586630581094,13,15,15,15
Comunidade da Portelinha- Messejana,MESSEJANA,MASSA,-3.818391,-38.49267784302326,15,15,15,15
Zona de Confronto ,TABAPUÁ,CV,-3.7410065,-38.6200077395178,13,15,15,15
Outra Banda,MARACANAÚ,CV,-3.881854,-38.6779497822889,14,15,15,15
Vertentes,HORIZONTE,CV,-4.089672,-38.47723658160125,15,15,15,15
Tabatinga ,PACATUBA,CV,-3.954559,-38.693724992569,12,15,15,15
Comunidade do Uga- Uga,PARQUE ALBANO,CV,-3.745899,-38.62848913319033,15,15,15,15
Alto Da Penha ,CRATO,CV,-7.240131,-39.409411521649126,8,15,15,15
Comunidade São Francisco - Itapajé,ITAPAJÉ,CV,-3.684906,-39.58898915453807,15,15,15,15
Bairro do Campo,AMONTADA,CV,-3.364892,-39.82796849760467,8,15,15,15
Caponga,PINDORETAMA,CV,-4.04436,-38.19553966337274,11,15,15,15
Quadras - Aracape,ARACAPÉ,CV,-3.831236,-38.5885624024776,12,14,14,14
Muro de Pedra - Aracape,PARQUE SANTA ROSA,CV,-3.8215705,-38.58729909494602,14,14,14,14
Alto Alegre II,ALTO ALEGRE II,CV,-3.8342385,-38.600697500929286,8,14,14,14
Malhada ,HORIZONTE,CV,-4.134748,-38.49013435942148,8,14,14,14
Comunidade da Granjinha- Planalto Pici,PICI,CV,-3.754951,-38.577411479874776,14,14,14,14
Salinas - Leblon ,IPARANA,CV,-3.6924635,-38.61342174192569,10,14,14,14
Cidade de Umirim ,UMIRIM,CV,-3.676696,-39.346823216696734,10,14,20,31
Por do Sol,TIANGUA,PCC,-3.721325,-41.0033866601384,14,14,14,14
TDG,GUAJERU,CV,-3.8292945,-38.47448493690389,14,14,14,14
Santa Rosa,CARLITO PAMPLONA,CV,-3.7161565,-38.55332894353258,14,14,14,14
Favela do Marrocos,BOM JARDIM,CV,-3.8009065,-38.60960888306452,14,14,14,14
Comunidade Do Campinho,BARRA DO CEARÁ,CV,-3.700046,-38.58464394069105,14,14,14,14
Mirambe,URUCUTUBA,CV,-3.7910835,-38.65991622882162,8,14,16,16
Praia Caetanos,AMONTADA,CV,-3.0780015,-39.56288151224227,5,14,16,46
B13 - (Complexo da Barra do Ceará),BARRA DO CEARÁ,CV,-3.707219,-38.57353999421014,14,14,14,14
Favela do Cajueiro,JANGURUSSU,CV,-3.845824,-38.50669743443319,14,14,14,14
Camurupim,PARQUE SOLEDADE,CV,-3.7062765,-38.65446969175812,14,14,14,14
Coaçu,COAÇU,CV,-4.1667225000000006,-38.47020438667232,12,14,14,14
MANGUEIRAL,PINDORETAMA,CV,-4.07588735,-38.29545359961361,8,14,16,16
Jereissati Setor E - Maracanaú,MARACANAÚ,CV,-3.886841,-38.61850011133237,14,14,14,14
Loteamento Nova Jurema ou CDD,MARECHAL RONDON,CV,-3.7705245,-38.63520723993426,14,14,14,14
Favela Da Lagoa,MARACANAÚ,CV,-3.8766905,-38.62619676858056,14,14,14,14
Parque tijuca,ALTO ALEGRE II,CV,-3.8399605,-38.62543495183096,10,14,14,14
Vila verde,JARDIM DAS OLIVEIRAS,CV,-3.7833595,-38.50176702269036,14,14,14,14
Cidade de Deus - Área Seca,MARACANAÚ,CV,-3.8753855,-38.66089854039866,12,14,14,14
Torrões,CIDADE NOVA,CV,-3.883665,-38.58117823370647,8,14,25,25
Comunidade Graviolas,PRAIA DE IRACEMA,CV,-3.725056,-38.51496806508203,10,14,14,14
Comunidade do 14,MARECHAL RONDON,CV,-3.76902,-38.626569599814125,14,14,14,14
Comunidade Da Cagece ,PLANALTO AYRTON SENNA,CV,-3.8315865,-38.57503646013128,14,14,14,14
Cidade de Graça,GRAÇA,CV,-4.042299,-40.752520050219566,12,14,18,28
Eldorado,URUCUTUBA,CV,-3.7745455,-38.64843377201258,10,14,14,14
Planalto Pici,PICI,CV,-3.750783,-38.58036816348314,14,14,14,14
Comunidade da Portelinha- Planalto Pici,DOM LUSTOSA,CV,-3.7522025,-38.5812520573782,14,14,14,14
Comunidade do Mutirão,SIQUEIRA,CV,-3.801825,-38.62866811021099,14,14,14,14
Caça e Pesca ,PRAIA DO FUTURO II,CV,-3.765734,-38.44225652523585,14,14,14,14
Comunidade Muro de Pedra - (Complexo do Vincent Pinzon),VICENTE PINZÓN,CV,-3.727865,-38.46752325910504,14,14,14,14
Comunidade do Paufininho,DE LOURDES,CV,-3.7444325,-38.46732866842476,14,14,14,14
Comunidade do Canal ou Mela Mela,GRANJA PORTUGAL,CV,-3.781395,-38.59784770092634,14,14,14,14
Beco da Galinha,PAPICU,CV,-3.739197,-38.47957478491489,14,14,14,14
Cidade 2000,CIDADE 2000,CV,-3.751195,-38.4702808160026,12,14,14,14
Comunidade Baixa Pau,PRAIA DE IRACEMA,CV,-3.7194895,-38.52100128246754,8,14,18,18
Padre Andrade,PADRE ANDRADE,CV,-3.734169,-38.5773679033576,14,14,14,14
Recreio- Boa Viagem,BOA VIAGEM,PCC,-5.1159605,-39.734004389323815,7,14,17,31
Comunidade da Mangueira,CURIÓ,MASSA,-3.8212305,-38.478871509052766,14,14,14,14
Morro do Pinto,CRISTO REDENTOR,CV,-3.70628825,-38.56265608897182,14,14,14,14
Mutirão ll ou Frei Damião ,JUAZEIRO DO NORTE,PCC,-7.2443475,-39.33842431594949,12,14,14,14
Comunidade da Fumaça ,SÃO MIGUEL,CV,-3.746109,-38.599622812223856,14,14,14,14
Vila Alta,CRATO,PCC,-7.227076999999999,-39.411062173058255,12,14,14,14
Favela do Magalhães - Jaçanaú,MARACANAÚ,CV,-3.847066,-38.64527089239956,14,14,14,14
Ponte ,URUCUTUBA,CV,-3.762377,-38.65764988243495,14,14,14,14
Comunidade dos Cocos ,MANUEL DIAS BRANCO,CV,-3.751617,-38.4505439978153,10,14,14,14
Comunidade Entrada da Lua,DOM LUSTOSA,CV,-3.751132,-38.58264330487805,14,14,14,14
Comunidade da Ponte,PARQUE SOLEDADE,CV,-3.7407585,-38.63136263390193,14,14,14,14
Favela do CK,BARROSO,CV,-3.8180255,-38.51032753790585,14,14,14,14
Alto Alegre,SOBRAL,CV,-3.803407,-40.26128753804033,12,14,14,14
Água da bomba,BOM JARDIM,CV,-3.7923755,-38.59594769126959,14,14,14,14
Amanari,MARANGUAPE,CV,-4.0244095,-38.86948756441447,13,13,15,19
2 de Agosto,MORADA NOVA,TCP/GDE,-5.1078195,-38.36595472625366,11,13,13,13
Morro do Ouro,JACARECANGA,CV,-3.7255475,-38.54499371518152,13,13,13,13
Tamarindo ,MERUOCA,CV,-3.694071,-40.35345295873287,11,13,13,13
Sulina,PINDORETAMA,TCP/GDE,-4.0430665,-38.20586025384727,7,13,13,13
Favela do Verdão,PACATUBA,CV,-3.9192205,-38.60190014727172,9,13,13,13
Favelinha,PADRE ANDRADE,CV,-3.740154,-38.58431116896014,13,13,13,13
TABULEIRO DO NORTE - SEDE - CV,LIMOEIRO DO NORTE,CV,-5.2502865,-38.12806275972676,2,13,23,36
Quadrinhas ,BARRA DO CEARÁ,CV,-3.699271,-38.58104561733333,13,13,13,13
Icarai de Amontada ,ITAREMA,CV,-3.031478,-39.65541026968985,6,13,24,27
Barra Nova,IPARANA,CV,-3.690687,-38.66697158864119,8,13,14,14
Distrito de Croatá,SÃO GONÇALO DO AMARANTE,CV,-3.6752575,-39.11609934214039,9,13,17,19
Comunidade do Parazinho,IPARANA,CV,-3.640575,-38.70920666213124,11,13,13,13
Conjunto São Cristovão,JANGURUSSU,CV,-3.835421,-38.52026176580363,13,13,13,13
Caixa D´agua - Varjota,PIRES FERREIRA,CV,-4.196277,-40.47501958600306,11,13,13,13
Comunidade do Carrapicho,CAMBEBA,MASSA,-3.8151895,-38.484213193702686,13,13,13,13
Castanhola ,CURIÓ,MASSA,-3.819031,-38.47931675879908,12,12,12,12
Comunidade da Central,FLORESTA,CV,-3.723182,-38.57969565537167,12,12,12,12
Morro - Corrente,GRAÇA,TCP/GDE,-4.03483,-40.8653939123854,11,12,12,12
Beco do Pinheiro ,VILA PERI,CV,-3.7880705,-38.58234212264959,12,12,12,12
Parque Iracema II,PARQUE IRACEMA,MASSA,-3.8101825,-38.49603626840356,10,12,12,12
Timbó,MARACANAÚ,CV,-3.8777455,-38.60183495198069,12,12,12,12
Boa Vista - Maracanaú,MARACANAÚ,CV,-3.8873575,-38.62323676355296,12,12,12,12
QUIXERÉ - LAGOINHA - PCC,QUIXERE,PCC,-5.077942,-37.90707468494686,0,12,14,18
CiIdade de São Gonçalo do Amarante (SGA),SÃO GONÇALO DO AMARANTE,CV,-3.610337,-38.96645690207989,8,12,15,17
Bairro de Fátima - Cedro,CEDRO,TCP/GDE,-6.604508,-39.0641149126365,10,12,12,12
Rafael Santos,HORIZONTE,CV,-4.0936375,-38.50054855821693,12,12,12,12
Maracananzinho,MARACANAÚ,CV,-3.866286,-38.63442398674911,12,12,12,12
Área Verde,HORIZONTE,CV,-4.0905515,-38.48142120157976,12,12,12,12
Jaibaras,CARIRE,PCC,-3.7736865,-40.500172669664565,9,12,14,16
Alto Fechado,PEDRAS,CV,-3.8898945,-38.54656713199867,4,12,20,20
Comunidade Da Julia,DOM LUSTOSA,CV,-3.749187,-38.58397291505701,12,12,12,12
Vila Nova,PENTECOSTE,CV,-3.789902,-39.2675974112727,12,12,12,12
Pantanal,JOSÉ DE ALENCAR,CV,-3.8094035,-38.47753446994885,10,12,12,12
Buraco da Gia - Antonio Bezerra,PADRE ANDRADE,CV,-3.739172,-38.58143006056369,10,12,12,12
Residencial Luiz Gonzaga,ANCURI,CV,-3.8576785,-38.51145861703078,12,12,12,12
Rua Canudos,PLANALTO AYRTON SENNA,CV,-3.838046,-38.56879082527555,12,12,12,12
Bairro Santo Anônio,TIANGUA,PCC,-3.7271345,-41.00211395,12,12,12,12
Favelinha,GUAJERU,CV,-3.828393,-38.47706401151032,12,12,12,12
Pica- Pau (Distrito Industrial),HORIZONTE,CV,-4.1213075,-38.48341933145174,10,12,12,12
Ancuri,ANCURI,CV,-3.8813655,-38.53183542540323,4,12,12,12
Cajueiros,MARECHAL RONDON,CV,-3.776443,-38.63173227661456,12,12,12,12
Patrícia Gomes,URUCUTUBA,CV,-3.75795,-38.65095808954777,12,12,12,12
Beco do Castelo - Aracapé,ARACAPÉ,CV,-3.8372925,-38.583673261864405,8,12,12,12
Grilo,PARQUE SOLEDADE,CV,-3.724557,-38.66406739559764,12,12,12,12
Campo do América,MEIRELES,CV,-3.730488,-38.50242284543745,8,12,12,12
Frifor,SÃO MIGUEL,CV,-3.743576,-38.60217255358222,12,12,12,12
Mororó,MARACANAÚ,CV,-3.8866645,-38.675158949373696,12,12,12,12
Vilinha,ANCURI,CV,-3.857877,-38.515749222698105,10,12,12,12
Pedrinhas,JUAZEIRO DO NORTE,PCC,-7.203310999999999,-39.27594027606983,10,12,14,14
Apuiarés,APUIARÉS,CV,-3.9447175,-39.43202582611829,6,12,12,19
10,CURIÓ,CV,-3.8233775,-38.470671522520576,12,12,12,12
Cidade de Deus 2,PARQUE SANTA MARIA,CV,-3.8442695,-38.50208134657164,12,12,12,12
AP DO JATOBÁ - JARDIM DO EDEM,SIQUEIRA,CV,-3.7993033,-38.63025686946844,10,12,12,12
Rua Codó,CONJUNTO PALMEIRAS,CV,-3.849113,-38.52181620431432,12,12,12,12
Cj Palmeiras l,CONJUNTO PALMEIRAS,CV,-3.8449525,-38.528139559674685,12,12,12,12
Comunidade PSD,PICI,CV,-3.756914,-38.57748653465765,12,12,12,12
Jardim das Maravilhas,ALTO ALEGRE II,CV,-3.842582,-38.61707915820895,12,12,12,12
São Francisco ,QUINTINO CUNHA,CV,-3.729333,-38.60386704002505,12,12,12,12
Palmeirinha,CARARU,CV,-3.840616,-38.4271072510722,10,12,14,14
Alto da Queiroz,BOA VIAGEM,PCC,-5.1246455,-39.74019193913043,7,12,13,15
Pavuna,PACATUBA,CV,-3.916267,-38.59922617525774,10,12,12,12
Vila Rolim - Boa Vista,DIAS MACÊDO,CV,-3.7910785,-38.51628217401515,12,12,12,12
Barreiros,CIDADE 2000,CV,-3.7575215,-38.46906035976201,6,12,12,12
Beco do Jeremias,VILA VELHA,CV,-3.7127895,-38.604871528685166,12,12,12,12
Babilônia ,PASSARÉ,CV,-3.8213325,-38.52844042044518,12,12,12,12
Condomínio Pabussu,PARQUE SOLEDADE,CV,-3.741578,-38.66621140698702,12,12,12,12
Palmirim,PARQUE SOLEDADE,CV,-3.7412625,-38.67464085972295,10,12,12,12
Rua do Meio,CIDADE NOVA,CV,-3.840683,-38.57169991407448,12,12,12,12
Conjunto São Bernardo,MESSEJANA,MASSA,-3.819506,-38.490376972872994,12,12,12,12
Flecheiras ,TRAIRI,CV,-3.224902,-39.268914473115714,7,12,12,12
Curicaca,PARQUE SOLEDADE,CV,-3.714558,-38.66157193919919,10,12,12,12
Potira ll,GUADALAJARA,CV,-3.7591045,-38.63325968873183,12,12,12,12
Vila de Jericoacoara,JIJOCA DE JERICOACOARA,CV,-2.796309,-40.51364993922262,11,12,12,14
Comunidade Joana D'arc (Complexo do Vicente Pinzon),VICENTE PINZÓN,CV,-3.728943,-38.47018883805248,12,12,12,12
Vila Nova - Trairí ,TRAIRI,CV,-3.2725790000000003,-39.26911768863921,7,12,14,14
Comunidade da Jamaica,GRANJA PORTUGAL,CV,-3.7875955,-38.603431269589,12,12,12,12
Parque São João,SIQUEIRA,CV,-3.814537,-38.62585707179908,12,12,12,12
Rua da Lama,BOA VISTA/CASTELÃO,CV,-3.7951255,-38.5161166909548,12,12,12,12
Gavião/Mata Galinha - Boa Vista,BOA VISTA/CASTELÃO,CV,-3.798428,-38.51610250555158,12,12,12,12
LAGOA SECA,MESSEJANA,CV,-3.8228084,-38.50027342335487,12,12,12,12
Boa Esperança - Pajuçara,CIDADE NOVA,CV,-3.8539085,-38.577856003630615,8,12,12,12
Favela do Trilho,GUADALAJARA,CV,-3.766137,-38.62696301312719,12,12,12,12
Comunidade do Polo da Barra,BARRA DO CEARÁ,CV,-3.696219,-38.58447783205443,12,12,12,12
Pracinha do Abel (Complexo do Pirambu),PIRAMBU,CV,-3.7083555,-38.55606151770387,12,12,12,12
Cidade de Chorozinho,CHOROZINHO,CV,-4.2948755,-38.49775357891157,8,12,16,44
Comunidade das Antenas,HENRIQUE JORGE,CV,-3.7660835,-38.58076391611842,10,12,12,12
Favelinha,PARQUE IRACEMA,MASSA,-3.8126,-38.49301125,12,12,12,12
Bela Vista- Itapajé,ITAPAJÉ,CV,-3.681466,-39.58073450352113,8,12,12,12
Parque Betânia,JANGURUSSU,CV,-3.8384965,-38.50512429906705,12,12,12,12
Cocobó,IGUATU,CV,-6.3709995,-39.30328160150904,12,12,12,12
Santa Cecília,BOM JARDIM,CV,-3.792208,-38.61047403645564,12,12,12,12
Comunidade do Serrote - Messejana,PARQUE SANTA MARIA,CV,-3.841724,-38.49104324118699,12,12,12,12
Frei Damião,JUAZEIRO DO NORTE,PCC,-7.253387,-39.33630284131742,11,12,12,12
Campo Alegre ,JUAZEIRO DO NORTE,CV,-7.251706,-39.29101641457297,5,11,14,14
VP,ITAPERI,CV,-3.7915955,-38.55077265656912,7,11,11,11
Nova Metrópole V,URUCUTUBA,CV,-3.772819,-38.65805490668475,9,11,15,15
Cidade De Barro,BARRO,TCP/GDE,-7.178776,-38.77740678382915,8,11,11,17
Cumbuca,CURIÓ,MASSA,-3.8214135,-38.47546163770137,11,11,11,11
QUIXERE - CENTRO - PCC,QUIXERE,PCC,-5.07271,-37.99138541499542,6,11,15,16
Jaguaribara,JAGUARIBARA,CV,-5.455572500000001,-38.46544098553583,9,11,11,18
Várzea Grande,SOBRAL,TCP/GDE,-3.6963105,-40.3416265203462,10,11,11,11
Distrito de Matuões ,CAUCAIA,CV,-3.58447,-38.827396366346655,1,11,16,21
OLHO-DA-AGUA DA BICA ,TABULEIRO DO NORTE,CV,-5.3879315000000005,-38.01405575858696,11,11,11,15
Sítios Novos- Caucaia,CAUCAIA,CV,-3.7449175,-38.95171421861144,7,11,15,17
Alto do Motor,BOA VIAGEM,PCC,-5.125899,-39.734269865302586,11,11,11,11
Batateiras- Crato,CRATO,PCC,-7.223076499999999,-39.427604285272274,10,11,11,15
CENTRO - RUSSAS ,QUIXERE,CV,-4.9378715,-37.97317816490717,11,11,11,11
VG,AEROLÂNDIA,CV,-3.7717525,-38.51794187443821,11,11,11,11
Cidade de Camocim,CAMOCIM,CV,-2.9013995,-40.8521068081746,0,11,45,61
Polígono 2240,CONJUNTO CEARÁ II,CV,-3.7792795,-38.61308702793296,11,11,11,11
Cidade de Icó,ICÓ,CV,-6.4034465,-38.85924128193898,5,11,21,41
Condomínio da Santa,MARACANAÚ,CV,-3.874857,-38.67910986965001,11,11,11,11
Salitre,SALITRE,CV,-7.2830695,-40.45844653461538,9,11,13,17
Comunidade Do Coqueirin ,CURIÓ,CV,-3.818703,-38.47656395951951,11,11,11,11
Comunidade do Pau Serrado,MARACANAÚ,CV,-3.8636955,-38.65345424798387,10,10,10,10
Cajueiro - Caça e Pesca ,PRAIA DO FUTURO II,CV,-3.7714185,-38.44518808847856,10,10,10,10
Pratius l,PINDORETAMA,CV,-4.0371305,-38.27379988861141,10,10,10,12
Vila da Paz,ALTO ALEGRE II,CV,-3.8438465,-38.606459911243306,10,10,10,10
Angorá de Itaitinga,ITAITINGA,CV,-3.97532,-38.517495533611935,6,10,12,12
AP do Guajiru,IPARANA,CV,-3.7007465,-38.64731557555555,8,10,10,10
São João do Amanari,MARANGUAPE,CV,-4.0202765,-38.88917250183992,7,10,10,11
Morro da Colônia (Complexo da Barra do Ceará),CRISTO REDENTOR,CV,-3.705602,-38.5709569428934,10,10,10,10
Boqueirão dos Tabosas,PARAIPABA,CV,-3.4284745,-39.15731618044933,8,10,10,10
Conjunto Carandiru - Planalto Horizonte,HORIZONTE,CV,-4.1156445,-38.4782262881796,10,10,10,10
Papoco - Mucunã,MARACANAÚ,CV,-3.8537205,-38.651118835417705,6,10,10,10
Campo do Guanabara,JARDIM GUANABARA,CV,-3.724977,-38.59363180171199,10,10,10,10
Favela do Capinzal,OLAVO OLIVEIRA,CV,-3.7308005,-38.5905497506978,10,10,10,10
Lagoa Seca da Sapiranga,SAPIRANGA / COITÉ,CV,-3.789762,-38.46826873137255,10,10,10,10
