micronodo,area_oficial,faction,lat,long,cvli_count_500m,cvli_count_1km,cvli_count_2km,cvli_count_total
Favela de Baixo - Barroso ll,BARROSO,CV,-3.821199,-38.522229434962725,10,10,10,10
Pracinha,MARECHAL RONDON,CV,-3.777801,-38.618678237981385,10,10,10,10
Bairro 7 de Setembro,IGUATU,CV,-6.367235000000001,-39.30237473890237,10,10,10,10
Comunidade do Brejo,CURIÓ,MASSA,-3.8203625,-38.47290001604403,10,10,10,10
Almeida Rego,PARQUE IRACEMA,MASSA,-3.8141085,-38.49636535699588,10,10,10,10
Planalto Popular,PACAJUS,CV,-4.175608,-38.45520896548871,10,10,10,10
Jereissati Setor B - Maracanaú,MARACANAÚ,CV,-3.874906,-38.6135656270109,8,10,12,12
Comunidade da theberg (Complexo do Pirambu),CRISTO REDENTOR,CV,-3.70802,-38.56394965032269,10,10,10,10
Pintor Lemos,MERUOCA,MASSA,-3.6940325,-40.35714252647462,9,9,9,9
Parajuru ,FORTIM,MASSA,-4.38788,-37.859069385049736,0,9,13,13
Cidade de Massapê,MASSAPÊ,CV,-3.523683,-40.34173797068112,4,9,12,19
Bairro Tapeba,PARQUE SOLEDADE,CV,-3.728003,-38.70174486840087,7,9,9,9
Irajá- Quixadá,QUIXADA,CV,-4.97086,-39.00900012790698,5,9,9,9
CV,MERUOCA,CV,-3.6818945,-40.3475583851734,6,9,9,9
Bairro do Ginasio,TIANGUA,CV,-3.725501,-40.98633274230769,9,9,9,9
Cigana,PARQUE SOLEDADE,CV,-3.7409925,-38.66162428232759,9,9,9,9
Nova Metrópole I,URUCUTUBA,CV,-3.765475,-38.65441725734256,9,9,9,9
Bairro da Malvinas - Barbalha,JUAZEIRO DO NORTE,CV,-7.305433000000001,-39.27887736337983,7,9,9,9
Bairro Antonio Vieira,JUAZEIRO DO NORTE,CV,-7.222378,-39.33412238329136,6,9,9,9
Preá,JIJOCA DE JERICOACOARA,CV,-2.8217805,-40.40805330745264,4,9,11,11
