global_rank,micronode_id,score,bairro,regional,faction,longitude,latitude,local_street_pressure,nearby_streets_count,nearby_streets
238,Comunidade do Gato Morto,46.798,BARRA DO CEARÁ,capital,CV,-38.58791728125,-3.70713190625,16.049,65,COMUNIDADE DO GATO MORTO; LAMA SECA; COMUNIDADE RIACHO DOCE- BARRA DO CEARÁ
239,Bairro Nossa Senhora de Fátima- Boa Viagem,46.738,BOA VIAGEM,interior,PCC,-39.72875031372549,-5.132062529411765,6.543,17,AREA SEM NOME; BAIRRO NOSSA SENHORA DE FÁTIMA- BOA VIAGEM; RUA PADRE ANTÔNIO CORREIA DE SÁ
240,Cristo Redentor Colônia - (Complexo Da Barra Do Ceará),46.544,CRISTO REDENTOR,capital,CV,-38.567801749999994,-3.70545575,16.304,49,CRISTO REDENTOR COLÔNIA - (COMPLEXO DA BARRA DO CEARÁ); JAMBALAIA / MORRO DO FALCÃO; LAJE DA COLÔNIA
241,Coqueiral,46.501,JOSÉ DE ALENCAR,capital,CV,-38.471603200000004,-3.8160108,13.43,50,COQUEIRAL; RUA BRANCA; COMUNIDADE DO SEU ROSA
242,Recreio- Boa Viagem,46.373,BOA VIAGEM,interior,PCC,-39.73134233333333,-5.116242488888888,6.347,18,RUA RAIMUNDO DA CUNHA RAMOS; RECREIO- BOA VIAGEM; RUA EDSON TADEU ALBUQUERQUE
243,Comunidade Do Pombal,46.344,BARRA DO CEARÁ,capital,CV,-38.586835818181825,-3.6996922272727275,16.141,51,COMUNIDADE DO POMBAL; MORRO DO SANTIAGO; RUA SANTIAGO DA BARRA DO CEARÁ
244,Comunidade São Pedro,46.281,BARRA DO CEARÁ,capital,CV,-38.58231993333334,-3.695787466666667,16.034,48,COMUNIDADE SÃO PEDRO; COMUNIDADE SÃO ANTONIO; COMUNIDADE DO POLO DA BARRA
245,José de Alencar,46.046,JOSÉ DE ALENCAR,interior,CV,-37.769574625000004,-4.572333125,6.63,16,JOSÉ DE ALENCAR; GRUTA; RUA ANTÔNIO CALIXTO
246,Bairro José Rosa,45.609,BOA VIAGEM,interior,PCC,-39.72586939285715,-5.122820535714287,5.934,17,BAIRRO JOSÉ ROSA; TIBIAQUARI; RUA JOSÉ DE QUEIRÓS SAMPAIO
247,Comunidade do Polo da Barra,45.49,BARRA DO CEARÁ,capital,CV,-38.584984270833324,-3.696397156249999,14.894,45,COMUNIDADE DO POLO DA BARRA; RUA SANTIAGO DA BARRA DO CEARÁ; MORRO DO SANTIAGO
248,Vila Holanda,45.408,BOA VIAGEM,interior,PCC,-39.736831232558146,-5.135675534883721,5.88,16,VILA HOLANDA; RUA ANTÔNIO ROCHA BEZERRA; RUA FELISBELO VIÊIRA FREITAS
249,Alto Da Penha,44.929,CRATO,interior,CV,-39.409169176470584,-7.239758607843136,9.717,27,ALTO DA PENHA; RUA PLÍNIO CAVALCANTE; RUA ANTÔNIO ALVES PEREIRA
250,Vilinha,44.234,BARRA DO CEARÁ,capital,CV,-38.5895099,-3.7024725666666667,13.287,49,VILINHA; COMUNIDADE DO GATO MORTO; CAMPO DO CRUZEIRO
251,Pantanal,44.083,JOSÉ DE ALENCAR,capital,CV,-38.477773125000006,-3.80904875,9.875,41,PANTANAL; AVENIDA ENGENHEIRO LEAL LIMA VERDE; RUA GRANJA SÃO FRANCISCO
252,Mutirão,43.609,CRATO,interior,CV,-39.41358173333333,-7.244883199999999,8.815,24,MUTIRÃO; JOSÉ SIEBRA DE OLIVEIRA; RUA ELVIRA DE CARVALHO
253,Vila Alta,43.588,CRATO,interior,PCC,-39.410937958333335,-7.2270335833333315,8.457,23,VILA ALTA; RUA ANTÔNIO XENOFONTE; RUA ANTONINA DO NORTE
254,Pantanal,43.472,CRATO,interior,CV,-39.416952758620695,-7.244261000000001,8.66,23,PANTANAL; RUA MONSENHOR ALENÇAR; RUA GERALDO MURICI
255,Buriti,42.748,JOSÉ DE ALENCAR,capital,CV,-38.464897666666666,-3.8093439333333334,7.602,38,BURITI; VIA URBANA; RUA BRANCA
256,Via Urbana,42.431,JOSÉ DE ALENCAR,capital,CV,-38.4677726,-3.8062348,7.448,35,VIA URBANA; BURITI; RUA GRANJA SÃO FRANCISCO
257,Novo Crato,42.262,CRATO,interior,CV,-39.425444772727275,-7.236457681818181,7.557,18,NOVO CRATO; RUA ANTONIO VALDEMAR; RUA GENERAL JOAQUIM PINHEIRO MONTEIRO
258,Pinto Madeira,42.211,CRATO,interior,CV,-39.40459481578948,-7.237849157894736,7.73,21,PINTO MADEIRA; RUA PADRE RODOLFO; RUA JESUS DE NAZARÉ
259,ALTO DA PENHA,41.484,CRATO,interior,PCC,-39.406466723076925,-7.240016969230769,7.172,18,RUA JESUS DE NAZARÉ; RUA ANTÔNIO ALVES PEREIRA; RUA JOSÉ SÁTIRO VILAR
260,Bairro Oséas Facundo,41.378,BOA VIAGEM,interior,PCC,-39.72080481818181,-5.133053727272727,2.916,8,BAIRRO OSÉAS FACUNDO; BAIRRO NOSSA SENHORA DE FÁTIMA- BOA VIAGEM; AREA SEM NOME
261,Gesso- Crato,40.513,CRATO,interior,CV,-39.40405933333333,-7.231243399999999,6.427,17,GESSO- CRATO; AVENIDA TEODORICO TELES; RUA DOM MELO
262,Batateiras- Crato,39.829,CRATO,interior,PCC,-39.42722854545454,-7.223022259740261,5.68,11,BATATEIRAS- CRATO; RUA DOUTOR ELÍSIO FIGUEIREDO; RUA DOM BÔSCO
263,Cacimbas,39.72,CRATO,interior,PCC,-39.42829329999999,-7.234663579999999,5.684,15,CACIMBAS; NOVO CRATO; RUA GENERAL JOAQUIM PINHEIRO MONTEIRO
264,Matadouro,39.177,CRATO,interior,CV,-39.42734816666667,-7.239616083333335,5.366,15,MATADOURO; RUA BOM JESUS; NOVO CRATO
265,Vila Lobos- Crato,37.97,CRATO,interior,PCC,-39.40174166101695,-7.245713135593222,4.444,13,VILA LOBOS- CRATO; RUA ANTÔNIO ESMERALDO LEITE; RUA EDITE ARAÚJO TÉLES
266,Vila Alta/ Brejo- Crato,37.582,CRATO,interior,PCC,-39.41021783720931,-7.220825906976743,3.834,10,VILA ALTA/ BREJO- CRATO; RUA MAESTRO AZUL; RUA ANTONINA DO NORTE
267,Vila Novo Horizonte,36.982,CRATO,interior,CV,-39.430071176470584,-7.256089647058823,3.894,8,VILA NOVO HORIZONTE; RUA ÂNGELO FIGUEIREDO; TRAVESSA SÃO ROQUE
268,Barro Branco,36.415,CRATO,interior,PCC,-39.3827580875,-7.238024695833334,2.701,8,BARRO BRANCO; RUA JOSÉ HAMILTON TERTULIANO; RUA RAIMUNDA DOMINGOS ALVES
269,VILA LOBO,36.363,CRATO,interior,PCC,-39.42655531518987,-7.270205141772156,0.466,2,VILA LOBO; VILA NOVO HORIZONTE
270,Conj. Barro Branco 2,36.085,CRATO,interior,PCC,-39.38434943333333,-7.250750700000001,2.888,5,RUA MESTRE DEDÉ DE LUNA; CONJ. BARRO BRANCO 2; RUA ADALGISA ALVES CARVALHO
271,Parque Grangeiro,36.006,CRATO,interior,CV,-39.422810235294115,-7.253011941176471,2.973,8,PARQUE GRANGEIRO; AVENIDA PEDRO FELÍCIO CAVALCANTE; VILA NOVO HORIZONTE
272,Mirandao,35.737,CRATO,interior,PCC,-39.396159833333336,-7.236418888888888,2.873,7,MIRANDAO; RUA MANOEL ALVES BEZERRA; PINTO MADEIRA
273,São Bento- Crato,35.692,CRATO,interior,PCC,-39.38843062295082,-7.215582836065577,2.501,5,SÃO BENTO- CRATO; RUA FRANCISCO AUGUSTO DOS SANTOS; RUA MÁRIO BEZERRA SAMPAIO
274,Lameiro,34.965,CRATO,interior,PCC,-39.45026086666666,-7.252802155555556,2.08,4,LAMEIRO; AVENIDA JOSÉ HORÁCIO PEQUENO; AREA SEM NOME
275,Belmonte,34.568,CRATO,interior,CV,-39.45356642857141,-7.26494977777778,1.88,4,BELMONTE; AVENIDA JOSÉ HORÁCIO PEQUENO; AREA SEM NOME
276,Vale do amanhecer,34.461,CRATO,interior,CV,-39.408206902222226,-7.259660382222226,1.453,4,VALE DO AMANHECER; VILA LOBOS- CRATO; PARQUE GRANGEIRO
277,Lagoa Encantada- Crato,34.016,CRATO,interior,PCC,-39.38989954545455,-7.206548454545455,1.472,2,LAGOA ENCANTADA- CRATO; SÃO BENTO- CRATO
278,Conjunto São Bento 1- Crato,33.386,CRATO,interior,CV,-39.39614923076923,-7.180455384615385,1.031,1,CONJUNTO SÃO BENTO 1- CRATO
279,São Raimundo,31.557,AMONTADA,interior,CV,-39.82880863636365,-3.355996636363636,3.761,10,SÃO RAIMUNDO; RUA FRANCISCO DOS SANTOS; RUA FRANCISCO ADONIAS DE VASCONCELOS
280,Bairro do Campo,31.26,AMONTADA,interior,CV,-39.82669495454546,-3.366286545454545,3.543,11,BAIRRO DO CAMPO; BUENOS AIRES; AVENIDA GENERAL ALÍPIO DOS SANTOS
281,Praia Caetanos,30.45,AMONTADA,interior,CV,-39.56259507142858,-3.077495499999999,2.807,5,PRAIA CAETANOS; RUA DOS PIOES; RUA TEREZA ANASTASIO
282,Buenos Aires,30.314,AMONTADA,interior,CV,-39.825730096774194,-3.370738403225807,2.647,6,BUENOS AIRES; RUA JOSÉ ANTÔNIO DE LIMA; BAIRRO DO CAMPO
283,São Sebastião,30.238,AMONTADA,interior,CV,-39.83403188095238,-3.353000047619047,2.582,6,SÃO SEBASTIÃO; RUA FRANCISCO ADONIAS DE VASCONCELOS; SÃO RAIMUNDO
284,Flores,29.699,AMONTADA,interior,CV,-39.83327847500001,-3.3718843750000005,2.334,5,FLORES; RUA ARTUR FERREIRA ALVES; BUENOS AIRES
285,Mirinduba,28.472,AMONTADA,interior,CV,-39.68119046153848,-3.066059442307691,1.294,1,MIRINDUBA
286,Mosquito,27.592,AMONTADA,interior,CV,-39.689513113636366,-3.0933644090909094,0.674,1,MOSQUITO
